date,A008RY,A011RY,A014RY,A788RY,A798RY,A799RY,A007RY,Gov,Total
1993-10-01,1.66,0.87,0.87,0.17,-0.08,0.06,2.52,0.15000000000000002,2.67
1994-01-01,0.47,0.26,1.83,-0.43,-0.1,-0.18,0.73,-0.71,0.020000000000000018
1994-04-01,0.72,0.58,2.09,0.1,-0.04,0.19,1.29,0.25,1.54
1994-07-01,0.78,-0.27,-1.66,0.21,0.05,0.28,0.52,0.54,1.06
1994-10-01,1.84,-0.27,1.24,-0.32,0.09,0.03,1.57,-0.2,1.37
1995-01-01,1.79,-0.4,-0.7,0.09,0.03,0.05,1.39,0.16999999999999998,1.5599999999999998
1995-04-01,0.46,-0.53,-1.44,-0.05,-0.06,0.18,-0.06,0.06999999999999999,0.009999999999999995
1995-07-01,0.3,0.61,-1.33,-0.16,0.02,-0.11,0.92,-0.25,0.67
1995-10-01,0.95,0.33,0.41,-0.14,-0.01,0.04,1.28,-0.11000000000000001,1.17
1996-01-01,1.25,0.45,-0.58,0.4,0.1,-0.08,1.7,0.42,2.12
1996-04-01,1.34,0.77,1.26,-0.09,0.04,0.24,2.12,0.19,2.31
1996-07-01,1.59,-0.04,1.66,-0.14,0.0,0.27,1.55,0.13,1.6800000000000002
1996-10-01,1.3,-0.2,-1.18,-0.25,-0.06,0.45,1.1,0.14,1.2400000000000002
1997-01-01,1.2,0.09,0.14,-0.16,0.04,-0.19,1.29,-0.31,0.98
1997-04-01,1.09,0.25,3.14,0.07,0.01,0.06,1.34,0.14,1.48
1997-07-01,2.3,0.17,-1.41,0.19,0.0,0.13,2.47,0.32,2.79
1997-10-01,0.3,0.19,0.62,0.0,-0.09,0.06,0.49,-0.03,0.45999999999999996
1998-01-01,1.7,0.37,1.24,-0.2,0.21,-0.01,2.06,-1.9081958235744878e-17,2.06
1998-04-01,1.79,0.62,-2.88,0.05,0.04,0.33,2.41,0.42000000000000004,2.83
1998-07-01,0.84,0.54,0.6,0.26,-0.02,0.28,1.38,0.52,1.9
1998-10-01,1.58,0.45,0.32,-0.26,0.0,-0.02,2.03,-0.28,1.7499999999999998
1999-01-01,1.19,0.08,0.83,0.04,0.07,0.16,1.27,0.27,1.54
1999-04-01,1.46,0.3,-1.73,0.03,0.09,0.03,1.76,0.15,1.91
1999-07-01,1.62,0.15,0.38,0.09,0.0,0.19,1.76,0.28,2.04
1999-10-01,0.26,0.15,1.72,-0.02,0.14,0.35,0.41,0.47,0.8799999999999999
2000-01-01,2.07,0.1,-2.73,0.0,-0.15,0.24,2.17,0.09,2.26
2000-04-01,1.84,-0.1,2.95,0.01,-0.02,-0.24,1.74,-0.25,1.49
2000-07-01,0.62,-0.3,-1.11,-0.06,0.01,-0.02,0.32,-0.06999999999999999,0.25
2000-10-01,0.2,0.02,-0.04,0.12,-0.02,0.14,0.21,0.24,0.44999999999999996
2001-01-01,-0.56,0.08,-3.12,-0.01,0.04,0.19,-0.48,0.22,-0.26
2001-04-01,-1.2,0.29,1.06,0.11,0.04,0.52,-0.91,0.67,-0.24
2001-07-01,-0.66,0.12,-1.03,0.03,0.01,-0.65,-0.54,-0.61,-1.15
2001-10-01,-1.56,-0.13,-1.89,0.13,0.03,0.6,-1.69,0.76,-0.9299999999999999
2002-01-01,-1.24,0.64,2.77,0.09,0.12,0.13,-0.6,0.33999999999999997,-0.26
2002-04-01,-0.56,0.49,1.29,0.21,0.03,-0.15,-0.06,0.09,0.03
2002-07-01,-0.16,0.06,0.06,0.18,0.04,0.05,-0.1,0.27,0.17
2002-10-01,-0.66,0.37,0.26,0.06,0.03,0.16,-0.3,0.25,-0.04999999999999999
2003-01-01,0.23,0.39,-0.03,0.02,0.0,-0.02,0.62,0.0,0.62
2003-04-01,1.31,0.34,-1.17,0.06,0.08,-0.13,1.66,0.010000000000000009,1.67
2003-07-01,1.04,1.25,0.3,0.05,0.0,0.29,2.29,0.33999999999999997,2.63
2003-10-01,0.62,0.68,1.16,0.12,-0.03,-0.02,1.3,0.06999999999999999,1.37
2004-01-01,-0.46,0.27,0.34,0.01,0.01,-0.04,-0.19,-0.02,-0.21
2004-04-01,1.19,0.76,0.96,0.09,0.05,-0.04,1.94,0.1,2.04
2004-07-01,1.37,0.18,-0.34,0.18,-0.01,-0.21,1.55,-0.04000000000000001,1.51
2004-10-01,1.0,0.35,0.24,0.02,0.01,-0.06,1.35,-0.03,1.32
2005-01-01,0.72,0.6,0.84,0.03,-0.01,0.0,1.31,0.019999999999999997,1.33
2005-04-01,0.79,0.47,-2.27,0.1,0.0,-0.02,1.26,0.08,1.34
2005-07-01,1.03,0.29,-0.29,0.04,0.07,-0.11,1.32,1.3877787807814457e-17,1.32
2005-10-01,0.38,-0.06,2.17,0.0,0.01,0.03,0.33,0.04,0.37
2006-01-01,1.69,-0.25,-0.18,0.04,0.11,0.24,1.44,0.39,1.83
2006-04-01,0.89,-1.32,-0.03,0.14,-0.04,0.04,-0.43,0.14,-0.29
2006-07-01,0.9,-1.38,0.15,-0.12,0.02,-0.1,-0.48,-0.2,-0.6799999999999999
2006-10-01,0.58,-1.09,-1.01,0.2,0.01,-0.08,-0.51,0.13,-0.38
2007-01-01,0.99,-0.99,-0.58,-0.01,-0.01,0.11,-0.01,0.09,0.08
2007-04-01,1.21,-0.82,0.29,0.21,0.03,0.08,0.38,0.32,0.7
2007-07-01,0.86,-1.26,-0.47,-0.03,0.03,0.05,-0.4,0.05,-0.35000000000000003
2007-10-01,0.84,-1.54,-0.12,0.08,0.01,0.11,-0.7,0.2,-0.49999999999999994
2008-01-01,0.21,-1.34,-0.8,0.02,0.0,-0.08,-1.12,-0.06,-1.1800000000000002
2008-04-01,0.12,-0.69,-0.57,0.24,0.05,0.03,-0.57,0.31999999999999995,-0.25
2008-07-01,-1.0,-0.73,0.39,0.06,0.04,0.01,-1.73,0.11,-1.6199999999999999
2008-10-01,-3.09,-1.3,-1.99,0.06,0.03,-0.17,-4.38,-0.08000000000000002,-4.46
2009-01-01,-3.88,-1.18,-2.0,-0.07,0.0,0.0,-5.06,-0.07,-5.13
2009-04-01,-1.44,-0.68,-1.06,0.13,0.02,0.14,-2.11,0.29000000000000004,-1.8199999999999998
2009-07-01,-0.25,0.49,-0.35,0.03,0.09,-0.04,0.24,0.07999999999999999,0.31999999999999995
2009-10-01,0.33,-0.02,4.49,-0.02,0.09,-0.23,0.31,-0.16000000000000003,0.14999999999999997
2010-01-01,0.32,-0.34,1.25,-0.01,0.09,-0.32,-0.02,-0.24,-0.26
2010-04-01,1.49,0.53,0.93,0.04,0.08,0.18,2.03,0.3,2.3299999999999996
2010-07-01,1.26,-0.93,2.25,-0.05,0.0,0.03,0.33,-0.020000000000000004,0.31
2010-10-01,0.93,0.16,-1.25,0.03,-0.01,-0.16,1.09,-0.14,0.9500000000000001
2011-01-01,-0.03,-0.03,-1.05,-0.16,0.03,-0.2,-0.07,-0.33,-0.4
2011-04-01,1.24,0.11,0.98,-0.02,-0.03,-0.14,1.35,-0.19,1.1600000000000001
2011-07-01,2.25,0.17,-2.18,-0.06,-0.02,-0.07,2.42,-0.15000000000000002,2.27
2011-10-01,1.29,0.25,3.05,-0.06,-0.01,0.01,1.54,-0.05999999999999999,1.48
2012-01-01,1.3,0.6,-0.48,-0.11,0.01,-0.22,1.89,-0.32,1.5699999999999998
2012-04-01,1.16,0.09,0.19,0.0,0.0,-0.08,1.25,-0.08,1.17
2012-07-01,-0.17,0.27,0.08,-0.06,-0.03,-0.17,0.09,-0.26,-0.17
2012-10-01,0.57,0.56,-1.68,-0.1,0.0,-0.11,1.12,-0.21000000000000002,0.9100000000000001
2013-01-01,0.82,0.43,1.31,-0.1,-0.13,-0.08,1.25,-0.31,0.94
2013-04-01,0.28,0.4,0.19,-0.07,-0.05,0.06,0.67,-0.06000000000000001,0.61
2013-07-01,0.97,0.22,1.52,0.02,0.0,0.04,1.19,0.06,1.25
2013-10-01,1.27,-0.2,-0.37,-0.04,-0.02,-0.06,1.07,-0.12,0.9500000000000001
2014-01-01,0.86,-0.05,-1.44,-0.22,0.02,-0.16,0.81,-0.36,0.45000000000000007
2014-04-01,1.56,0.41,0.89,0.09,0.02,0.19,1.97,0.3,2.27
2014-07-01,1.19,0.19,0.28,-0.03,0.02,0.07,1.39,0.06000000000000001,1.45
2014-10-01,0.48,0.46,-0.7,0.01,0.04,0.09,0.94,0.14,1.08
2015-01-01,0.02,0.26,2.19,-0.09,0.02,-0.02,0.28,-0.09,0.19000000000000003
2015-04-01,0.38,0.36,-0.45,0.09,0.04,0.29,0.74,0.42,1.16
2015-07-01,0.33,0.44,-0.61,-0.04,0.03,0.09,0.77,0.07999999999999999,0.85
2015-10-01,-0.24,0.22,-0.41,0.05,0.03,-0.14,-0.02,-0.06000000000000001,-0.08000000000000002
2016-01-01,0.05,0.46,-0.8,-0.01,0.06,0.31,0.51,0.36,0.87
2016-04-01,0.46,0.05,-0.8,-0.08,0.03,-0.08,0.51,-0.13,0.38
2016-07-01,0.81,-0.04,-0.47,-0.03,0.02,0.0,0.77,-0.009999999999999998,0.76
2016-10-01,0.43,0.2,1.25,-0.02,0.03,0.13,0.63,0.14,0.77
2017-01-01,0.54,0.36,-1.1,0.05,0.02,0.01,0.89,0.08,0.97
2017-04-01,0.61,0.09,0.39,0.1,0.02,0.07,0.7,0.19,0.8899999999999999
2017-07-01,0.53,0.01,0.63,0.0,0.02,0.07,0.54,0.09000000000000001,0.63
2017-10-01,1.3,0.32,-0.28,0.09,0.06,0.22,1.62,0.37,1.9900000000000002
2018-01-01,1.53,-0.3,-0.14,0.05,0.06,-0.07,1.23,0.039999999999999994,1.27
2018-04-01,0.63,0.11,-0.74,0.0,0.05,0.2,0.74,0.25,0.99
2018-07-01,0.35,-0.15,1.99,0.05,0.04,0.01,0.2,0.09999999999999999,0.3
2018-10-01,0.5,-0.32,-0.11,0.14,0.02,-0.31,0.18,-0.15,0.03
2019-01-01,0.3,-0.16,0.44,0.19,-0.02,0.28,0.14,0.45000000000000007,0.5900000000000001
2019-04-01,1.07,0.22,-0.76,-0.29,0.06,0.24,1.3,0.010000000000000009,1.31
2019-07-01,0.6,0.23,-0.06,0.2,0.04,-0.07,0.83,0.17,1.0
2019-10-01,-0.22,0.04,-0.71,0.06,0.07,-0.12,-0.18,0.010000000000000009,-0.16999999999999998
2020-01-01,-1.09,0.52,-1.3,0.0,0.14,0.23,-0.57,0.37,-0.19999999999999996
2020-04-01,-4.12,-1.16,-4.01,0.14,0.13,-0.08,-5.28,0.19,-5.09
2020-07-01,2.69,2.35,8.48,0.01,0.07,-0.1,5.04,-0.020000000000000004,5.0200000000000005
2020-10-01,1.35,1.2,-0.18,0.13,-0.07,0.13,2.55,0.19,2.7399999999999998
2021-01-01,1.18,0.44,-2.08,-0.16,0.05,-0.15,1.63,-0.26,1.3699999999999999
2021-04-01,1.27,-0.22,-1.89,-0.03,0.06,-0.27,1.05,-0.24000000000000002,0.81
2021-07-01,-0.15,-0.13,2.99,0.03,0.05,-0.27,-0.28,-0.19,-0.47000000000000003
2021-10-01,0.37,-0.02,4.28,0.06,0.04,-0.12,0.35,-0.01999999999999999,0.32999999999999996
2022-01-01,1.32,-0.09,-0.07,-0.01,0.02,-0.09,1.23,-0.08,1.15
2022-04-01,0.68,-0.73,-2.05,0.01,0.01,-0.16,-0.05,-0.14,-0.19
2022-07-01,0.62,-1.41,-0.66,-0.06,0.03,0.22,-0.79,0.19,-0.6000000000000001
2022-10-01,0.24,-1.23,1.61,0.2,0.08,0.17,-0.99,0.45000000000000007,-0.5399999999999999
2023-01-01,0.76,-0.22,-2.22,-0.09,0.08,0.21,0.53,0.2,0.73
2023-04-01,0.98,-0.09,0.0,0.06,0.05,0.34,0.9,0.45,1.35
2023-07-01,0.21,0.26,1.27,0.07,0.02,0.3,0.46,0.39,0.8500000000000001
2023-10-01,0.5,0.11,-0.47,0.08,0.08,0.42,0.61,0.58,1.19
2024-01-01,0.44,0.57,-0.45,-0.04,0.02,0.09,1.02,0.06999999999999999,1.09
