date,TOT_QU,AFS_QU
2014-11-01,1.9,3.9
2014-12-01,1.8,3.9
2015-01-01,2.0,4.1
2015-02-01,1.9,3.9
2015-03-01,2.0,4.2
2015-04-01,1.9,3.8
2015-05-01,1.9,3.7
2015-06-01,1.9,4.2
2015-07-01,1.9,4.2
2015-08-01,2.0,4.5
2015-09-01,2.0,4.2
2015-10-01,2.0,4.2
2015-11-01,2.0,4.3
2015-12-01,2.1,4.5
2016-01-01,2.0,4.3
2016-02-01,2.1,4.4
2016-03-01,2.0,4.4
2016-04-01,2.1,4.4
2016-05-01,2.1,4.5
2016-06-01,2.1,4.4
2016-07-01,2.1,4.4
2016-08-01,2.1,4.4
2016-09-01,2.1,4.3
2016-10-01,2.1,4.5
2016-11-01,2.1,4.6
2016-12-01,2.1,4.4
2017-01-01,2.2,4.3
2017-02-01,2.1,4.2
2017-03-01,2.2,4.2
2017-04-01,2.1,4.3
2017-05-01,2.1,4.3
2017-06-01,2.2,4.3
2017-07-01,2.1,4.1
2017-08-01,2.1,4.0
2017-09-01,2.2,4.3
2017-10-01,2.2,4.2
2017-11-01,2.2,4.3
2017-12-01,2.2,4.3
2018-01-01,2.0,3.9
2018-02-01,2.2,4.6
2018-03-01,2.2,4.6
2018-04-01,2.3,4.6
2018-05-01,2.3,4.5
2018-06-01,2.3,4.4
2018-07-01,2.3,4.6
2018-08-01,2.3,4.6
2018-09-01,2.3,4.7
2018-10-01,2.3,4.5
2018-11-01,2.3,4.6
2018-12-01,2.3,4.5
2019-01-01,2.3,4.9
2019-02-01,2.4,5.1
2019-03-01,2.4,4.9
2019-04-01,2.3,4.9
2019-05-01,2.3,4.9
2019-06-01,2.3,5.1
2019-07-01,2.4,5.1
2019-08-01,2.3,5.0
2019-09-01,2.3,4.5
2019-10-01,2.3,4.8
2019-11-01,2.3,4.6
2019-12-01,2.3,4.7
2020-01-01,2.3,4.6
2020-02-01,2.3,4.3
2020-03-01,1.9,3.4
2020-04-01,1.5,3.6
2020-05-01,1.7,3.6
2020-06-01,1.9,3.8
2020-07-01,2.2,4.2
2020-08-01,2.1,4.2
2020-09-01,2.2,4.4
2020-10-01,2.3,4.6
2020-11-01,2.3,4.6
2020-12-01,2.4,5.4
2021-01-01,2.3,5.3
2021-02-01,2.4,5.3
2021-03-01,2.5,5.6
2021-04-01,2.7,5.9
2021-05-01,2.6,5.9
2021-06-01,2.8,5.9
2021-07-01,2.8,6.2
2021-08-01,2.8,5.8
2021-09-01,2.9,5.8
2021-10-01,2.8,5.5
2021-11-01,3.0,6.1
2021-12-01,2.9,5.9
2022-01-01,2.9,6.1
2022-02-01,2.9,5.9
2022-03-01,2.9,6.1
2022-04-01,3.0,5.8
2022-05-01,2.8,6.0
2022-06-01,2.7,5.7
2022-07-01,2.6,5.3
2022-08-01,2.8,6.2
2022-09-01,2.6,5.7
2022-10-01,2.6,5.8
2022-11-01,2.7,5.8
2022-12-01,2.6,5.2
2023-01-01,2.5,5.3
2023-02-01,2.6,6.0
2023-03-01,2.5,4.8
2023-04-01,2.4,4.9
2023-05-01,2.6,5.1
2023-06-01,2.4,5.1
2023-07-01,2.3,4.5
2023-08-01,2.3,5.0
2023-09-01,2.3,5.2
