date,Government,FIRE,GoodsTTU,Oth_Serv,Federal,State and local
2010-07-01,9.32324,14.9975,25.046,16.5506,2.88804,6.43321
2010-10-01,9.28951,15.0892,25.1125,16.6704,2.87298,6.41498
2011-01-01,9.29456,15.0396,24.8012,16.6676,2.88347,6.40872
2011-04-01,9.27818,15.1072,24.8559,16.8278,2.87706,6.39932
2011-07-01,9.20919,15.1465,24.6708,16.8242,2.86214,6.34423
2011-10-01,9.18875,15.3335,25.2164,16.8221,2.85658,6.32972
2012-01-01,9.16405,15.4141,25.1961,17.1264,2.85352,6.30765
2012-04-01,9.10468,15.5799,25.1763,17.1306,2.84009,6.26084
2012-07-01,9.0819,15.657,25.0226,17.1284,2.82862,6.24994
2012-10-01,9.05928,15.5285,24.8987,17.2758,2.81088,6.24605
2013-01-01,9.04002,15.4801,25.4954,17.1839,2.79172,6.24674
2013-04-01,9.00501,15.5156,25.4679,17.1485,2.76766,6.23701
2013-07-01,8.95109,15.6479,25.6837,17.2336,2.73276,6.21883
2013-10-01,8.88744,15.8421,25.769,17.3641,2.69435,6.19446
2014-01-01,8.89477,15.7094,25.4769,17.419,2.72753,6.16748
2014-04-01,8.90637,15.8566,25.9271,17.5631,2.71551,6.19168
2014-07-01,8.8722,15.8857,26.3256,17.8287,2.70144,6.17149
2014-10-01,8.85181,15.935,26.4045,17.8848,2.69016,6.16285
2015-01-01,8.8125,16.1191,26.5732,18.0034,2.69716,6.11606
2015-04-01,8.83178,16.2437,26.6317,18.0503,2.69389,6.1386
2015-07-01,8.82621,16.1519,26.7587,18.1157,2.68817,6.13912
2015-10-01,8.81948,16.252,26.589,18.1309,2.68598,6.13418
2016-01-01,8.82666,16.3229,26.7157,18.2243,2.68928,6.13796
2016-04-01,8.82612,16.4693,26.6127,18.2256,2.69374,6.13337
2016-07-01,8.85674,16.5904,26.7428,18.2276,2.69672,6.16078
2016-10-01,8.85466,16.6379,26.728,18.3956,2.69418,6.16141
2017-01-01,8.86072,16.6174,26.8795,18.4579,2.69506,6.16668
2017-04-01,8.85403,16.5413,27.0892,18.5901,2.68863,6.16682
2017-07-01,8.86453,16.6981,27.2415,18.7132,2.69107,6.17454
2017-10-01,8.87712,16.8206,27.5399,18.8788,2.6934,6.18496
2018-01-01,8.88048,16.9043,27.7143,19.0144,2.69317,6.18866
2018-04-01,8.90022,17.0999,27.7362,19.1711,2.69721,6.20455
2018-07-01,8.89559,17.2621,27.8428,19.2993,2.69869,6.19776
2018-10-01,8.87211,17.1559,27.877,19.4309,2.68488,6.18911
2019-01-01,8.8077,17.3729,27.9062,19.5559,2.65594,6.15367
2019-04-01,8.87277,17.5352,27.9956,19.6464,2.70208,6.17184
2019-07-01,8.89628,17.661,28.2216,19.8144,2.71323,6.18385
2019-10-01,8.99637,17.8327,28.1444,19.8188,2.72364,6.27334
2020-01-01,9.02474,17.5358,27.9198,19.3954,2.73942,6.28569
2020-04-01,8.67768,17.3105,25.0097,16.4223,2.76372,5.91378
2020-07-01,8.80411,17.8973,27.5126,18.5585,2.79862,6.00526
2020-10-01,8.80807,18.0714,27.5868,18.9493,2.78806,6.01963
2021-01-01,8.78526,18.4018,28.1008,19.2672,2.7962,5.98852
2021-04-01,8.8361,18.8269,28.045,20.0015,2.80124,6.03488
2021-07-01,8.92377,19.0594,27.572,20.4898,2.79891,6.1247
2021-10-01,8.91168,19.52,27.8833,20.9136,2.78786,6.12351
2022-01-01,8.94713,19.4392,27.5129,20.9558,2.78948,6.15779
2022-04-01,8.93682,19.5151,27.0429,21.1624,2.7845,6.1522
2022-07-01,8.94308,19.762,27.1233,21.3647,2.77187,6.17121
