date,Government,Oth_Serv,FIRE,GoodsTTU,"Educational services, health care, and social assistance",Construction,Manufacturing,Retail trade
1997-10-01,0.19,1.0799999999999998,1.05,2.59,0.18,-0.02,1.19,0.51
1998-01-01,0.16,1.1800000000000002,0.82,2.14,0.03,0.19,0.66,0.64
1998-04-01,0.16,1.1800000000000002,0.82,2.14,0.03,0.19,0.66,0.64
1998-07-01,0.16,1.1800000000000002,0.82,2.14,0.03,0.19,0.66,0.64
1998-10-01,0.16,1.1800000000000002,0.82,2.14,0.03,0.19,0.66,0.64
1999-01-01,0.16,1.5000000000000002,1.18,1.82,0.23,0.18,0.86,0.25
1999-04-01,0.16,1.5000000000000002,1.18,1.82,0.23,0.18,0.86,0.25
1999-07-01,0.16,1.5000000000000002,1.18,1.82,0.23,0.18,0.86,0.25
1999-10-01,0.16,1.5000000000000002,1.18,1.82,0.23,0.18,0.86,0.25
2000-01-01,0.27,1.0700000000000003,1.0,1.83,0.25,0.18,1.08,0.23
2000-04-01,0.27,1.0700000000000003,1.0,1.83,0.25,0.18,1.08,0.23
2000-07-01,0.27,1.0700000000000003,1.0,1.83,0.25,0.18,1.08,0.23
2000-10-01,0.27,1.0700000000000003,1.0,1.83,0.25,0.18,1.08,0.23
2001-01-01,0.13,0.33999999999999986,1.07,-0.79,0.16,-0.09,-0.63,0.24
2001-04-01,0.13,0.33999999999999986,1.07,-0.79,0.16,-0.09,-0.63,0.24
2001-07-01,0.13,0.33999999999999986,1.07,-0.79,0.16,-0.09,-0.63,0.24
2001-10-01,0.13,0.33999999999999986,1.07,-0.79,0.16,-0.09,-0.63,0.24
2002-01-01,0.24,1.04,0.17,0.32999999999999996,0.29,-0.15,0.12,0.29
2002-04-01,0.24,1.04,0.17,0.32999999999999996,0.29,-0.15,0.12,0.29
2002-07-01,0.24,1.04,0.17,0.32999999999999996,0.29,-0.15,0.12,0.29
2002-10-01,0.24,1.04,0.17,0.32999999999999996,0.29,-0.15,0.12,0.29
2003-01-01,0.16,0.8,0.24,1.4500000000000002,0.29,0.07,0.73,0.34
2003-04-01,0.16,0.8,0.24,1.4500000000000002,0.29,0.07,0.73,0.34
2003-07-01,0.16,0.8,0.24,1.4500000000000002,0.29,0.07,0.73,0.34
2003-10-01,0.16,0.8,0.24,1.4500000000000002,0.29,0.07,0.73,0.34
2004-01-01,0.12,1.3900000000000001,0.3,1.8599999999999999,0.36,0.17,0.92,0.11
2004-04-01,0.12,1.3900000000000001,0.3,1.8599999999999999,0.36,0.17,0.92,0.11
2004-07-01,0.12,1.3900000000000001,0.3,1.8599999999999999,0.36,0.17,0.92,0.11
2004-10-01,0.12,1.3900000000000001,0.3,1.8599999999999999,0.36,0.17,0.92,0.11
2005-01-01,-0.006666666666666682,0.4033333333333332,0.29333333333333345,0.0,-0.12333333333333335,0.18,-0.13,0.020000000000000018
2005-04-01,0.04,0.42999999999999994,1.14,0.96,0.16,-0.18,0.06,0.66
2005-07-01,0.14,0.8599999999999999,1.09,1.4,0.49,-0.14,0.46,0.59
2005-10-01,0.2,0.4700000000000001,0.88,0.6699999999999999,0.14,-0.16,1.07,-0.68
2006-01-01,-0.12,1.8900000000000001,0.31,3.8099999999999996,0.64,0.42,1.69,0.34
2006-04-01,0.1,0.5700000000000001,-0.38,0.78,0.23,-0.39,-0.11,0.18
2006-07-01,0.18,0.5099999999999999,0.67,-0.96,-0.07,-0.36,-0.05,-0.58
2006-10-01,0.07,0.34999999999999987,1.48,0.8699999999999999,0.12,-0.54,0.92,0.28
2007-01-01,0.1,0.5899999999999999,0.77,-0.8899999999999999,-0.22,0.11,-0.43,-0.37
2007-04-01,0.12,0.7800000000000001,-0.54,1.6999999999999997,0.11,0.28,0.96,-0.65
2007-07-01,0.13,1.7499999999999998,-0.2,0.30999999999999994,0.29,-0.22,0.96,0.08
2007-10-01,0.33,2.0,-0.85,1.1099999999999999,0.41,-0.62,1.04,0.14
2008-01-01,0.39,0.35999999999999993,0.44,-3.58,0.59,-0.95,-1.82,-0.42
2008-04-01,0.33,1.94,-1.25,0.6200000000000001,0.54,-0.2,0.99,-0.16
2008-07-01,0.24,0.91,-1.51,-1.9699999999999998,0.56,-0.21,-1.38,-0.36
2008-10-01,-0.33,-1.0699999999999994,-3.45,-3.54,0.54,-0.89,-3.1,-0.61
2009-01-01,-0.14,-3.32,5.52,-6.27,0.19,-1.42,-2.7,-0.24
2009-04-01,0.18,-1.33,2.35,-1.85,0.12,-0.32,0.06,-0.11
2009-07-01,0.03,-0.16000000000000003,1.03,0.32999999999999996,-0.03,0.16,0.48,-0.26
2009-10-01,0.15,1.2,-0.24,2.73,0.25,-0.61,1.75,0.59
2010-01-01,0.22,1.0899999999999999,0.08,-0.45000000000000007,-0.17,-0.39,0.54,-0.1
2010-04-01,0.06,1.53,0.05,2.36,0.31,0.25,0.35,0.39
2010-07-01,-0.22,1.9500000000000002,-0.62,1.58,0.23,-0.15,0.48,0.06
2010-10-01,-0.09,0.8800000000000001,1.06,0.41000000000000003,0.11,-0.12,0.17,0.04
2011-01-01,0.13,0.03999999999999994,0.02,-1.5899999999999999,0.04,-0.3,-0.36,-0.03
2011-04-01,0.0,1.3200000000000003,0.63,0.69,0.29,0.21,0.34,-0.09
2011-07-01,-0.3,0.15000000000000002,0.57,-0.74,0.09,0.02,-0.58,-0.2
2011-10-01,0.0,0.30999999999999983,1.47,3.58,0.09,0.02,0.6,0.34
2012-01-01,-0.05,1.97,0.74,0.010000000000000009,0.39,0.31,0.24,0.15
2012-04-01,-0.26,0.42999999999999994,0.98,0.08000000000000004,-0.1,-0.08,-0.39,-0.46
2012-07-01,-0.02,-0.07999999999999996,0.89,-0.6399999999999999,0.02,-0.06,-0.8,0.51
2012-10-01,-0.02,1.0899999999999999,-0.57,-0.27,0.28,0.28,-0.24,-0.06
2013-01-01,-0.03,1.1400000000000001,-1.62,3.83,0.16,0.12,1.71,0.71
2013-04-01,-0.11,0.11000000000000008,0.11,0.07999999999999996,0.03,-0.01,0.13,-0.17
2013-07-01,-0.21,1.04,0.64,1.41,0.06,0.18,0.55,-0.03
2013-10-01,-0.27,1.5500000000000003,1.0,0.6299999999999999,0.15,-0.1,-0.04,0.13
2014-01-01,0.08,-0.049999999999999906,0.15,-1.4700000000000002,0.0,-0.01,-0.41,0.1
2014-04-01,0.2,1.2400000000000002,1.04,2.64,0.25,0.2,0.75,0.25
2014-07-01,-0.02,2.170000000000001,0.51,2.42,0.45,0.0,0.22,0.13
2014-10-01,-0.05,0.6900000000000002,0.5,0.44999999999999996,0.22,0.18,-0.39,-0.14
2015-01-01,-0.18,1.29,0.71,1.0899999999999999,0.32,0.11,0.63,0.36
2015-04-01,0.17,1.31,0.94,0.8700000000000001,0.23,0.32,-0.17,0.27
2015-07-01,0.06,1.24,-0.89,0.54,0.2,0.11,-0.24,0.28
2015-10-01,0.06,0.86,0.08,-0.79,0.1,0.08,-0.69,-0.01
2016-01-01,0.15,1.0,-0.04,0.6699999999999999,0.43,0.3,0.21,0.41
2016-04-01,0.13,0.9000000000000001,1.2,0.16999999999999993,0.21,-0.03,0.02,0.1
2016-07-01,0.27,0.57,0.36,0.45000000000000007,-0.11,0.07,-0.08,0.19
2016-10-01,0.09,1.31,0.13,-0.06999999999999995,0.34,0.05,-0.33,0.27
2017-01-01,0.14,0.67,-0.24,1.02,0.08,0.06,0.84,0.08
2017-04-01,-0.01,1.7599999999999996,-0.43,1.33,0.22,-0.11,0.39,0.34
2017-07-01,0.03,1.45,0.31,0.78,0.11,0.04,0.1,0.43
2017-10-01,0.0,1.0699999999999998,-0.36,1.31,0.16,0.26,0.74,0.07
2018-01-01,-0.11,0.8900000000000001,-0.07,1.21,0.37,0.16,0.88,0.41
2018-04-01,0.07,2.3499999999999996,0.55,0.99,0.34,0.11,0.26,-0.06
2018-07-01,0.12,1.33,0.59,1.13,0.24,0.12,0.31,0.34
2018-10-01,-0.02,1.16,-0.07,1.1300000000000001,0.16,-0.09,0.32,-0.14
2019-01-01,-0.14,1.0299999999999998,0.8,1.3900000000000001,0.51,0.0,0.51,0.63
