date,LA104104005.Q,LA144104005.Q,LA153165105.Q,LA153166000.Q,LA154104005.Q,LA214104005.Q,LA314104005.Q,LA384104005.Q,FL264090005.Q,FL104104005.Q,FL104190005.Q,FL114190005.Q,FL144104005.Q,FL144190005.Q,FL154104005.Q,FL154190005.Q,FL214104005.Q,FL214190005.Q,FL314104005.Q,FL314190005.Q,FL384104005.Q,FL384122005.Q,FL384123005.Q,FL384190005.Q,FL153165005.Q,FL153166000.Q,FL104122005.Q,FL104123005.Q,FL113165505.Q,Government,NCB
1993-10-01,0.7,0.34,0.74,0.34,1.24,0.26,1.68,3.51,1.71,0.7,0.81,-0.38,0.34,0.43,1.24,1.28,0.26,0.33,1.68,1.76,3.51,2.96,0.55,3.8,0.81,0.34,1.32,-0.62,-0.23,1.94,-0.37
1994-01-01,1.02,0.76,0.92,0.49,1.54,0.11,1.47,3.88,2.08,1.01,1.13,-0.25,0.75,0.88,1.51,1.55,0.11,0.57,1.66,1.75,4.03,2.72,1.32,4.74,0.96,0.47,1.21,-0.2,-0.24,1.58,-0.25
1994-04-01,1.09,0.91,0.86,0.67,1.68,-0.18,1.3,3.7,2.19,1.05,1.04,-0.14,0.87,0.9,1.65,1.69,-0.18,0.39,1.25,1.34,3.59,1.87,1.72,4.32,0.88,0.65,0.99,0.07,-0.23,1.12,-0.18
1994-07-01,1.06,0.94,0.73,0.77,1.55,-0.37,1.05,3.17,2.07,1.02,0.57,-0.03,0.9,0.54,1.55,1.57,-0.41,0.2,1.06,1.12,3.11,1.24,1.86,3.43,0.74,0.75,0.72,0.3,-0.2,0.68,-0.12
1994-10-01,1.12,1.06,0.77,0.87,1.75,-0.52,0.85,3.13,0.78,1.12,0.65,0.08,1.06,0.73,1.75,1.77,-0.52,0.09,0.85,0.91,3.13,0.86,2.27,3.5,0.75,0.87,0.63,0.5,-0.16,0.32,-0.06
1995-01-01,1.05,1.05,0.69,0.92,1.68,-0.6,0.88,3,1.04,1.02,0.07,0.17,1.02,0.24,1.65,1.68,-0.61,-0.51,0.89,0.93,2.95,0.64,2.31,2.35,0.68,0.89,0.39,0.62,-0.11,0.27,0
1995-04-01,1.17,1.21,0.68,0.93,1.67,-0.57,1.1,3.4,1.76,1.14,-0.05,0.2,1.18,0.15,1.65,1.69,-0.58,-0.84,1.01,1.03,3.27,0.83,2.43,2.03,0.66,0.9,0.45,0.7,-0.08,0.52,0.04
1995-07-01,1.11,1.23,0.77,0.97,1.9,-0.63,1.02,3.52,2.11,1.09,0.63,0.27,1.21,0.91,1.89,1.94,-0.64,-1.05,0.96,1.02,3.42,0.7,2.72,2.82,0.76,0.95,0.43,0.67,-0.03,0.4,0.12
1995-10-01,1.1,1.27,0.66,0.91,1.66,-0.58,0.69,3.04,4.92,1.1,1,0.33,1.27,1.33,1.66,1.72,-0.58,-1.12,0.69,0.88,3.04,0.6,2.44,2.81,0.65,0.91,0.38,0.72,0.01,0.11,0.17
1996-01-01,0.87,1.07,0.91,0.83,1.95,-0.51,0.85,3.36,4.81,0.9,1.49,0.4,1.1,1.88,1.9,1.96,-0.51,-0.97,0.79,0.88,3.28,0.79,2.5,3.76,0.85,0.82,0.48,0.42,0.01,0.34,0.2
1996-04-01,0.79,1.03,0.95,0.74,1.94,-0.43,0.53,3.07,4.35,0.8,1.66,0.53,1.05,2.18,1.89,1.95,-0.44,-0.81,0.42,0.51,2.93,0.45,2.48,3.83,0.87,0.77,0.44,0.37,0.02,0.1,0.25
1996-07-01,0.84,1.13,0.93,0.62,1.74,-0.39,0.62,3.11,4.39,0.86,1.72,0.62,1.15,2.34,1.75,1.8,-0.39,-0.56,0.53,0.61,3.04,0.56,2.48,4.19,0.89,0.66,0.4,0.46,0,0.23,0.29
1996-10-01,0.59,0.89,0.94,0.53,1.66,-0.3,0.63,2.88,4.1,0.59,1.16,0.68,0.89,1.84,1.66,1.71,-0.3,-0.63,0.63,0.55,2.88,0.5,2.39,3.47,0.95,0.53,0.33,0.26,0.01,0.33,0.3
1997-01-01,0.82,1.18,0.78,0.4,1.38,-0.22,0.4,2.74,4.43,0.8,1.25,0.78,1.16,2.04,1.43,1.47,-0.21,-0.35,0.39,0.4,2.77,0.37,2.4,3.56,0.8,0.44,0.35,0.45,0.01,0.18,0.36
1997-04-01,1,1.42,0.82,0.37,1.45,-0.12,0.25,3.01,5.44,0.98,0.52,0.92,1.41,1.44,1.52,1.57,-0.11,-0.83,0.19,0.22,3.01,0.4,2.61,2.4,0.87,0.4,0.48,0.5,0.05,0.14,0.43
1997-07-01,1.39,1.86,1.04,0.35,1.66,0.07,0.11,3.71,5.79,1.35,0.28,1.02,1.83,1.3,1.69,1.74,0.09,-1.1,0.06,0.05,3.66,0.72,2.94,1.99,1.07,0.36,0.8,0.55,0.06,0.19,0.47
1997-10-01,1.81,2.38,1.05,0.35,1.76,0.24,0.05,4.44,6.75,1.81,0.67,1.14,2.38,1.81,1.76,1.81,0.24,-0.65,0.05,0.09,4.44,0.83,3.6,3.06,1.07,0.35,0.86,0.95,0.1,0.3,0.57
1998-01-01,2.21,2.94,1.32,0.37,2.08,0.34,0.01,5.36,7.12,2.2,0.77,1.35,2.93,2.11,2.04,2.09,0.35,-1.21,0.02,0.1,5.34,1.31,4.02,3.1,1.3,0.38,1.31,0.89,0.21,0.35,0.73
1998-04-01,2.55,3.43,1.46,0.52,2.34,0.4,0.04,6.22,6.43,2.58,2.72,1.51,3.46,4.23,2.32,2.37,0.42,-0.34,-0.03,0.06,6.17,1.57,4.6,6.31,1.49,0.51,1.64,0.94,0.28,0.44,0.88
1998-07-01,2.5,3.47,1.35,0.53,2.24,0.38,-0.29,5.79,4.72,2.52,4.3,1.67,3.49,5.96,2.24,2.28,0.38,1.23,-0.29,-0.17,5.82,1.15,4.67,9.3,1.4,0.53,1.53,0.99,0.36,0.09,0.98
1998-10-01,2.58,3.64,1.68,0.53,2.53,0.36,-0.28,6.26,6.35,2.58,5.01,1.82,3.64,6.82,2.53,2.56,0.36,0.13,-0.28,-0.18,6.26,1.21,5.04,9.33,1.74,0.53,1.53,1.06,0.37,0.08,1.06
1999-01-01,2.52,3.58,1.76,0.64,2.61,0.34,-0.42,6.1,5.76,2.54,5.82,1.72,3.59,7.55,2.6,2.64,0.34,0.65,-0.43,-0.34,6.1,0.95,5.16,10.49,1.8,0.64,1.35,1.19,0.34,-0.08,1.05
1999-04-01,2.01,2.93,1.73,0.52,2.52,0.23,-0.69,5,6.39,2.03,5.12,1.62,2.96,6.74,2.5,2.53,0.23,0.07,-0.68,-0.6,5.01,0.43,4.58,8.74,1.76,0.51,1.09,0.94,0.27,-0.46,0.93
1999-07-01,2.2,3.14,1.89,0.54,2.66,0.2,-0.69,5.31,6.75,2.24,5.29,1.57,3.18,6.86,2.63,2.65,0.2,-0.34,-0.67,-0.6,5.34,0.65,4.69,8.57,1.9,0.52,1.23,1.01,0.24,-0.49,0.94
1999-10-01,1.86,2.81,1.69,0.48,2.57,0.09,-0.65,4.81,5.25,1.86,4.11,1.55,2.81,5.66,2.57,2.6,0.09,-0.45,-0.65,-0.58,4.81,0.54,4.28,7.22,1.7,0.48,1.16,0.7,0.17,-0.57,0.95
2000-01-01,1.67,2.53,1.41,0.42,2.41,-0.02,-0.99,3.93,5.05,1.64,3.38,1.51,2.5,4.89,2.4,2.41,-0.05,-0.68,-0.99,-0.93,3.86,-0.03,3.89,5.69,1.42,0.41,0.98,0.65,0.17,-1.01,0.86
2000-04-01,1.89,2.87,1.47,0.52,2.32,-0.08,-1.5,3.62,4.51,1.89,4.76,1.61,2.87,6.37,2.33,2.34,-0.07,0.08,-1.39,-1.34,3.74,-0.44,4.19,7.46,1.51,0.52,0.97,0.93,0.21,-1.58,0.99
2000-07-01,1.3,2.17,1.39,0.65,2.38,-0.1,-1.75,2.7,5.25,1.32,4.5,1.49,2.19,6,2.36,2.37,-0.12,-0.59,-1.58,-1.53,2.85,-0.84,3.68,6.24,1.42,0.63,0.79,0.53,0.22,-1.85,0.87
2000-10-01,1.26,2.06,1.42,0.79,2.11,-0.07,-2.04,2.07,1,1.26,6.24,1.44,2.06,7.68,2.11,2.12,-0.07,1.25,-2.04,-1.91,2.07,-1.28,3.35,9.13,1.47,0.79,0.68,0.58,0.31,-2.1,0.8
2001-01-01,0.64,1.39,1.54,0.84,1.87,0.08,-1.55,1.78,0.14,0.65,6.72,1.25,1.41,7.97,1.84,1.85,0.06,2.58,-1.62,-1.61,1.69,-1,2.69,10.79,1.57,0.82,0.59,0.07,0.26,-1.48,0.76
2001-04-01,0.49,1.14,1.76,0.74,2.12,0.21,-1.49,1.98,0.55,0.48,4.72,1.03,1.13,5.74,2.12,2.11,0.2,2.02,-1.41,-1.39,2.04,-0.57,2.61,8.48,1.8,0.74,0.69,-0.21,0.2,-1.28,0.66
2001-07-01,0.49,1.19,2.11,0.59,2.69,0.3,-0.63,3.55,-0.94,0.47,4.26,1,1.17,5.26,2.66,2.65,0.3,3.35,-0.64,-0.56,3.49,0.2,3.29,10.69,2.1,0.6,0.61,-0.13,0.2,-0.33,0.7
2001-10-01,0.4,1.11,2.27,0.65,2.81,0.46,0.01,4.38,0.88,0.4,1.93,0.93,1.11,2.86,2.81,2.79,0.46,2.22,0.01,0.02,4.38,1.16,3.23,7.89,2.31,0.65,0.86,-0.46,0.16,0.47,0.71
2002-01-01,0.59,1.34,2.65,0.61,3.35,0.46,0.01,5.16,1.63,0.47,1.07,0.98,1.22,2.05,3.36,3.38,0.46,1.18,0.16,0.3,5.2,1.33,3.87,6.91,2.71,0.61,0.76,-0.3,0.2,0.47,0.76
2002-04-01,0.07,0.77,2.53,0.58,3.03,0.52,0.95,5.26,0.06,-0.07,1.34,0.9,0.63,2.24,3.12,3.15,0.52,2.44,0.99,1.13,5.24,1.79,3.46,8.96,2.67,0.58,0.31,-0.38,0.2,1.46,0.7
2002-07-01,-0.23,0.41,2.56,0.54,2.57,0.55,0.97,4.49,0.35,-0.32,0.57,0.81,0.32,1.37,2.67,2.73,0.56,1.89,0.96,1.05,4.51,1.51,3,7.04,2.7,0.54,0.06,-0.38,0.17,1.52,0.64
2002-10-01,-0.38,0.18,2.89,0.33,3,0.57,0.97,4.72,-1.43,-0.38,0.74,0.69,0.18,1.43,3,3.07,0.57,2.49,0.97,1.1,4.72,1.32,3.4,8.09,2.92,0.33,-0.19,-0.2,0.1,1.54,0.56
2003-01-01,-0.59,-0.19,2.73,0.28,2.87,0.53,1,4.2,-0.92,-0.58,0.16,0.46,-0.18,0.62,2.97,3.03,0.55,2.33,1.08,1.28,4.41,1.31,3.11,7.26,2.87,0.28,-0.35,-0.23,0.07,1.53,0.4
2003-04-01,-0.41,-0.06,3.28,0.33,4.05,0.6,1.4,6,1.37,-0.35,-1.16,0.37,-0.01,-0.79,4.13,4.18,0.6,1.49,1.37,1.69,6.1,1.82,4.27,6.57,3.39,0.32,-0.18,-0.17,0.13,2.01,0.35
2003-07-01,-0.23,-0.01,3.4,0.31,4.06,0.52,1.41,5.99,2.2,-0.23,-2,0.18,-0,-1.82,4.14,4.17,0.51,0.68,1.39,1.79,6.04,1.88,4.15,4.82,3.49,0.32,0.03,-0.26,0.15,1.93,0.23
2003-10-01,-0.3,-0.17,3.41,0.29,4.07,0.41,1.49,5.8,6.76,-0.3,-2.57,0.02,-0.17,-2.55,4.07,4.09,0.41,-0.08,1.49,1.97,5.8,1.82,3.98,3.44,3.42,0.29,-0.01,-0.29,0.23,1.9,0.13
2004-01-01,0.05,0.39,3.37,0.3,4.05,3.72,1.54,9.7,7,0.04,-2.09,0.36,0.38,-1.73,4.02,4.04,3.72,3.54,1.6,2.01,9.72,5.5,4.22,7.86,3.36,0.3,0.18,-0.15,0.2,5.26,0.34
2004-04-01,-0.03,0.42,3.18,0.18,3.39,3.63,1.38,8.82,6.28,-0.03,-0.85,0.56,0.43,-0.29,3.31,3.34,3.61,3.44,1.35,1.66,8.7,4.89,3.81,8.16,3.12,0.17,-0.04,0.02,0.19,5.01,0.46
2004-07-01,0.11,0.76,3.15,0.23,3.44,3.68,1.29,9.17,6.41,0.11,0.17,0.87,0.76,1.03,3.36,3.41,3.66,4.35,1.27,1.51,9.05,4.86,4.2,10.3,3.07,0.23,-0.14,0.24,0.22,4.97,0.66
2004-10-01,0.37,1.15,3.1,0.24,3.54,3.61,1.1,9.4,5.67,0.37,0.99,1.08,1.15,2.07,3.54,3.59,3.61,3.83,1.1,1.22,9.4,4.64,4.76,10.72,3.1,0.24,-0.14,0.51,0.25,4.71,0.78
2005-01-01,0.36,1.15,3.14,0.22,3.43,0.52,1.23,6.32,4.71,0.33,1.52,1.19,1.12,2.7,3.49,3.54,0.53,0.8,1.19,1.33,6.32,1.32,5.01,8.38,3.21,0.21,-0.27,0.6,0.29,1.74,0.79
2005-04-01,0.59,1.45,3.16,0.26,3.45,0.45,0.9,6.26,4.5,0.55,1.8,1.35,1.42,3.15,3.44,3.49,0.45,0.94,0.8,0.99,6.12,0.83,5.29,8.58,3.18,0.24,-0.25,0.8,0.25,1.36,0.87
2005-07-01,0.35,1.23,3.03,0.16,3.34,0.36,0.62,5.54,5.03,0.39,1.36,1.41,1.27,2.77,3.39,3.43,0.35,0.22,0.62,0.79,5.63,0.47,5.15,7.21,3.1,0.17,-0.29,0.68,0.19,0.97,0.87
2005-10-01,0.43,1.38,3,0.11,3.05,0.32,0.62,5.37,2.74,0.43,1.58,1.56,1.38,3.14,3.05,3.09,0.32,0.88,0.62,0.85,5.37,0.39,4.99,7.95,3.01,0.11,-0.33,0.76,0.09,0.94,0.94
2006-01-01,0.61,1.62,3.19,0.25,3.56,0.13,0.63,5.94,4.78,0.56,1.27,1.57,1.58,2.85,3.56,3.59,0.14,-0.05,0.57,0.76,5.84,0.29,5.55,7.15,3.22,0.23,-0.26,0.83,0.14,0.76,1.01
2006-04-01,0.66,1.69,3.13,0.15,3.48,0.08,0.5,5.75,4.14,0.63,1.38,1.53,1.66,2.92,3.45,3.48,0.08,0,0.43,0.57,5.62,0.36,5.26,6.97,3.13,0.15,-0.07,0.7,0.24,0.58,1.03
2006-07-01,0.73,1.83,3,0.2,3.42,0.09,0.38,5.72,5.23,0.72,1.37,1.58,1.81,2.95,3.4,3.43,0.08,-0.15,0.38,0.5,5.67,0.43,5.24,6.73,2.98,0.23,-0,0.72,0.35,0.47,1.09
2006-10-01,1.04,2.26,2.8,0.31,3.61,0.22,0.37,6.46,7.88,1.04,1.48,1.71,2.26,3.18,3.61,3.65,0.22,0.02,0.37,0.5,6.46,0.83,5.63,7.35,2.85,0.31,0.32,0.72,0.51,0.59,1.22
2007-01-01,0.97,2.16,2.21,0.14,2.67,0.37,0.33,5.53,7.13,1,1.53,1.6,2.19,3.13,2.71,2.75,0.36,0.8,0.26,0.38,5.52,0.86,4.66,7.06,2.27,0.16,0.39,0.61,0.52,0.7,1.19
2007-04-01,1.24,2.43,1.83,0.22,2.45,0.42,0.11,5.42,9.04,1.26,1.4,1.56,2.45,2.97,2.46,2.5,0.39,-0.06,0.1,0.36,5.4,0.9,4.5,5.76,1.86,0.24,0.53,0.73,0.53,0.54,1.19
2007-07-01,1.76,2.99,1.66,0.28,2.19,0.41,0.3,5.89,7.59,1.73,1.99,1.56,2.95,3.55,2.17,2.21,0.38,0.2,0.33,0.63,5.84,1.09,4.75,6.58,1.67,0.29,0.51,1.22,0.53,0.72,1.22
2007-10-01,1.52,2.61,1.06,0.22,1.38,0.25,0.23,4.47,4.98,1.52,2.2,1.32,2.61,3.52,1.38,1.41,0.25,0.42,0.23,0.42,4.47,0.79,3.68,5.76,1.08,0.22,0.34,1.19,0.45,0.48,1.09
2008-01-01,1.48,2.45,0.73,0.24,1.27,0.15,0.37,4.24,2.6,1.52,2.19,1.22,2.5,3.41,1.22,1.26,0.14,0.72,0.38,0.59,4.24,0.84,3.39,5.98,0.69,0.25,0.28,1.24,0.39,0.52,0.97
2008-04-01,1.17,2.02,0.01,0.17,0.1,0.01,0.56,2.69,-1.07,1.2,1.88,1.06,2.05,2.94,0.07,0.11,-0.01,1.24,0.59,0.72,2.71,0.93,1.78,5.01,-0.01,0.18,0.24,0.96,0.35,0.57,0.85
2008-07-01,0.64,1.26,-0.75,-0.03,-0.41,-0.11,1.72,2.46,-4.38,0.66,1.32,0.83,1.29,2.15,-0.46,-0.42,-0.11,1.83,1.71,1.78,2.43,1.97,0.46,5.33,-0.79,-0.04,0.25,0.41,0.3,1.61,0.63
2008-10-01,0.57,1.37,-0.49,0.01,-0.75,0.01,3.6,4.22,-6.62,0.57,2.54,1.11,1.37,3.65,-0.75,-0.68,0.01,3.17,3.6,3.72,4.22,4.02,0.2,9.86,-0.47,0.01,0.45,0.12,0.44,3.61,0.8
2009-01-01,0.33,1.01,-0.22,-0.05,-0.78,0.18,4.57,4.98,-7.85,0.35,2.11,0.97,1.02,3.09,-0.79,-0.7,0.16,3.39,4.62,4.75,5.01,5.41,-0.4,10.54,-0.21,-0.05,0.7,-0.36,0.42,4.75,0.67
2009-04-01,-0.09,0.3,-0.1,-0.14,-0.47,0.3,5.8,5.93,-4.85,-0.08,1.2,0.69,0.32,1.88,-0.49,-0.39,0.29,3.24,5.86,5.94,5.97,6.64,-0.67,10.68,-0.11,-0.15,0.62,-0.7,0.33,6.09,0.4
2009-07-01,-0.52,-0.38,-0.12,-0.14,-0.76,0.38,5.46,4.7,0.69,-0.53,0.22,0.37,-0.39,0.59,-0.74,-0.62,0.38,1.79,5.4,5.62,4.65,6.29,-1.65,7.38,-0.1,-0.15,0.6,-1.13,0.25,5.84,0.13
2009-10-01,-1.33,-1.77,-0.72,-0.33,-0.91,0.3,3.94,1.56,3.32,-1.33,-2.02,-0.37,-1.77,-2.39,-0.91,-0.82,0.3,0.08,3.94,4.02,1.56,4.6,-3.04,0.89,-0.75,-0.33,0.38,-1.71,0.02,4.24,-0.44
2010-01-01,-1.42,-1.95,-1.37,-0.4,-1.3,0.19,3.63,0.57,6.36,-1.43,-2.07,-0.58,-1.97,-2.65,-1.31,-1.27,0.21,-0.51,3.67,3.8,0.6,4.11,-3.51,-0.64,-1.42,-0.39,0.24,-1.67,-0.04,3.82,-0.53
2010-04-01,-1.34,-1.78,-1.39,-0.34,-1.29,0.11,3.74,0.77,3.36,-1.41,-0.78,-0.51,-1.85,-1.29,-1.27,-1.27,0.13,0.22,3.7,3.95,0.71,4.02,-3.3,1.61,-1.41,-0.33,0.23,-1.64,-0.06,3.84,-0.44
2010-07-01,-0.83,-1.14,-1.32,-0.25,-1.24,0.11,3.92,1.66,3.78,-0.85,0.17,-0.4,-1.16,-0.23,-1.22,-1.26,0.14,0.71,3.83,4.06,1.59,4.32,-2.73,3.27,-1.31,-0.25,0.48,-1.33,-0.11,4.04,-0.3
2010-10-01,-0.52,-0.75,-1.6,0.15,-1.15,0.14,4.11,2.36,4.5,-0.52,0.29,-0.37,-0.75,-0.08,-1.15,-1.23,0.14,0.76,4.11,4.47,2.36,4.65,-2.29,3.92,-1.6,0.15,0.52,-1.04,-0.16,4.25,-0.23
2011-01-01,-0.46,-0.76,-1.45,0.24,-1.11,-0.04,3.35,1.44,5.12,-0.41,0.28,-0.41,-0.71,-0.14,-1.11,-1.16,-0.04,0.29,3.35,3.59,1.49,3.66,-2.16,2.59,-1.45,0.24,0.44,-0.85,-0.14,3.31,-0.3
2011-04-01,-0.16,-0.58,-1.64,0.28,-1.38,-0.18,2.47,0.33,6.3,-0.13,-0.37,-0.53,-0.54,-0.9,-1.38,-1.41,-0.18,-0.51,2.45,2.8,0.35,2.84,-2.49,-0.02,-1.65,0.28,0.38,-0.51,-0.17,2.29,-0.41
2011-07-01,-0.07,-0.55,-1.61,0.32,-1.32,-0.23,2.29,0.19,1.37,-0.03,0.21,-0.55,-0.51,-0.34,-1.32,-1.32,-0.23,0.36,2.28,2.3,0.22,2.26,-2.04,1.01,-1.62,0.32,0.26,-0.29,-0.17,2.06,-0.48
2011-10-01,0.44,0,-1.2,0.1,-1.21,-0.3,2.21,0.7,1.83,0.44,0.91,-0.47,0,0.44,-1.21,-1.18,-0.3,0.27,2.21,2.17,0.7,2.11,-1.41,1.7,-1.2,0.1,0.28,0.16,-0.15,1.91,-0.44
2012-01-01,0.52,0.25,-1.21,0.14,-1.21,-0.22,2.59,1.41,1.7,0.5,0.91,-0.26,0.23,0.65,-1.22,-1.2,-0.22,-0.03,2.58,2.56,1.37,2.64,-1.26,1.98,-1.21,0.13,0.38,0.12,-0.13,2.37,-0.27
2012-04-01,0.55,0.52,-1.04,0.23,-0.9,-0.05,3.08,2.65,1.39,0.57,1.53,0.03,0.54,1.56,-0.91,-0.88,-0.04,0.4,3.04,2.83,2.64,3.08,-0.44,3.9,-1.04,0.24,0.51,0.06,-0.05,3.03,-0.03
2012-07-01,0.66,0.8,-1,0.26,-0.79,-0.04,2.71,2.69,4.71,0.68,1.18,0.22,0.82,1.4,-0.78,-0.77,-0.03,-0.5,2.68,2.68,2.69,3.1,-0.41,2.81,-0.99,0.27,0.66,0.02,0.01,2.67,0.14
2012-10-01,0.73,0.99,-1.05,0.27,-0.88,-0.14,2.44,2.41,2.61,0.73,1.11,0.36,0.99,1.46,-0.88,-0.88,-0.14,-0.54,2.44,2.52,2.41,3.05,-0.64,2.56,-1.04,0.27,0.84,-0.11,0.06,2.3,0.26
2013-01-01,0.78,1.01,-0.92,0.33,-0.68,-0.11,2.43,2.65,3.26,0.76,1.41,0.36,0.99,1.77,-0.7,-0.71,-0.11,0.28,2.42,2.41,2.6,2.93,-0.33,3.76,-0.92,0.32,0.77,-0,0.06,2.32,0.23
2013-04-01,0.97,1.18,-0.81,0.34,-0.49,-0.19,1.78,2.27,4.13,1,1.55,0.34,1.2,1.9,-0.5,-0.51,-0.18,0.55,1.72,1.96,2.25,2.44,-0.19,3.89,-0.8,0.33,0.77,0.23,0.05,1.58,0.21
