,industry_code,naics_code,publishing_status,industry_name,display_level,selectable,sort_sequence,series_id,supersector_code,data_type_code,seasonal,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
281,31321000,321,AO,Wood product manufacturing,4.0,T,78.0,CEU3132100003,31,3,U,"Average hourly earnings of all employees, wood product manufacturing, not seasonally adjusted",,2006,M03,2024,M05
333,31327000,327,AO,Nonmetallic mineral product manufacturing,4.0,T,87.0,CEU3132700001,31,1,U,"All employees, thousands, nonmetallic mineral product manufacturing, not seasonally adjusted",,1951,M01,2024,M05
335,31327000,327,AO,Nonmetallic mineral product manufacturing,4.0,T,87.0,CEU3132700003,31,3,U,"Average hourly earnings of all employees, nonmetallic mineral product manufacturing, not seasonally adjusted",,2006,M03,2024,M05
387,31331000,331,AO,Primary metal manufacturing,4.0,T,94.0,CEU3133100001,31,1,U,"All employees, thousands, primary metal manufacturing, not seasonally adjusted",,1990,M01,2024,M05
389,31331000,331,AO,Primary metal manufacturing,4.0,T,94.0,CEU3133100003,31,3,U,"Average hourly earnings of all employees, primary metal manufacturing, not seasonally adjusted",,2006,M03,2024,M05
441,31332000,332,AO,Fabricated metal product manufacturing,4.0,T,101.0,CEU3133200001,31,1,U,"All employees, thousands, fabricated metal product manufacturing, not seasonally adjusted",,1990,M01,2024,M05
443,31332000,332,AO,Fabricated metal product manufacturing,4.0,T,101.0,CEU3133200003,31,3,U,"Average hourly earnings of all employees, fabricated metal product manufacturing, not seasonally adjusted",,2006,M03,2024,M05
495,31333000,333,AO,Machinery manufacturing,4.0,T,126.0,CEU3133300001,31,1,U,"All employees, thousands, machinery manufacturing, not seasonally adjusted",,1990,M01,2024,M05
497,31333000,333,AO,Machinery manufacturing,4.0,T,126.0,CEU3133300003,31,3,U,"Average hourly earnings of all employees, machinery manufacturing, not seasonally adjusted",,2006,M03,2024,M05
549,31334000,334,AO,Computer and electronic product manufacturing,4.0,T,145.0,CEU3133400001,31,1,U,"All employees, thousands, computer and electronic product manufacturing, not seasonally adjusted",,1990,M01,2024,M05
551,31334000,334,AO,Computer and electronic product manufacturing,4.0,T,145.0,CEU3133400003,31,3,U,"Average hourly earnings of all employees, computer and electronic product manufacturing, not seasonally adjusted",,2006,M03,2024,M05
603,31335000,335,AO,"Electrical equipment, appliance, and component manufacturing",4.0,T,161.0,CEU3133500001,31,1,U,"All employees, thousands, electrical equipment, appliance, and component manufacturing, not seasonally adjusted",,1990,M01,2024,M05
605,31335000,335,AO,"Electrical equipment, appliance, and component manufacturing",4.0,T,161.0,CEU3133500003,31,3,U,"Average hourly earnings of all employees, electrical equipment, appliance, and component manufacturing, not seasonally adjusted",,2006,M03,2024,M05
657,31336000,336,AO,Transportation equipment manufacturing,4.0,T,171.0,CEU3133600001,31,1,U,"All employees, thousands, transportation equipment manufacturing, not seasonally adjusted",,1990,M01,2024,M05
659,31336000,336,AO,Transportation equipment manufacturing,4.0,T,171.0,CEU3133600003,31,3,U,"Average hourly earnings of all employees, transportation equipment manufacturing, not seasonally adjusted",,2006,M03,2024,M05
711,31337000,337,AO,Furniture and related product manufacturing,4.0,T,191.0,CEU3133700001,31,1,U,"All employees, thousands, furniture and related product manufacturing, not seasonally adjusted",,1990,M01,2024,M05
713,31337000,337,AO,Furniture and related product manufacturing,4.0,T,191.0,CEU3133700003,31,3,U,"Average hourly earnings of all employees, furniture and related product manufacturing, not seasonally adjusted",,2006,M03,2024,M05
765,31339000,339,AO,Miscellaneous manufacturing,4.0,T,200.0,CEU3133900001,31,1,U,"All employees, thousands, miscellaneous manufacturing, not seasonally adjusted",,1990,M01,2024,M05
767,31339000,339,AO,Miscellaneous manufacturing,4.0,T,200.0,CEU3133900003,31,3,U,"Average hourly earnings of all employees, miscellaneous manufacturing, not seasonally adjusted",,2006,M03,2024,M05
819,32311000,311,AO,Food manufacturing,4.0,T,210.0,CEU3231100001,32,1,U,"All employees, thousands, food manufacturing, not seasonally adjusted",,1990,M01,2024,M05
821,32311000,311,AO,Food manufacturing,4.0,T,210.0,CEU3231100003,32,3,U,"Average hourly earnings of all employees, food manufacturing, not seasonally adjusted",,2006,M03,2024,M05
870,32313000,313,AT,Textile mills,4.0,T,237.0,CEU3231300001,32,1,U,"All employees, thousands, textile mills, not seasonally adjusted",,1990,M01,2024,M05
872,32313000,313,AT,Textile mills,4.0,T,237.0,CEU3231300003,32,3,U,"Average hourly earnings of all employees, textile mills, not seasonally adjusted",,2006,M03,2024,M05
921,32314000,314,AO,Textile product mills,4.0,T,239.0,CEU3231400001,32,1,U,"All employees, thousands, textile product mills, not seasonally adjusted",,1990,M01,2024,M05
923,32314000,314,AO,Textile product mills,4.0,T,239.0,CEU3231400003,32,3,U,"Average hourly earnings of all employees, textile product mills, not seasonally adjusted",,2006,M03,2024,M05
972,32315000,315,AT,Apparel manufacturing,4.0,T,244.0,CEU3231500001,32,1,U,"All employees, thousands, apparel manufacturing, not seasonally adjusted",,1990,M01,2024,M05
974,32315000,315,AT,Apparel manufacturing,4.0,T,244.0,CEU3231500003,32,3,U,"Average hourly earnings of all employees, apparel manufacturing, not seasonally adjusted",,2006,M03,2024,M05
1023,32322000,322,AO,Paper manufacturing,4.0,T,246.0,CEU3232200001,32,1,U,"All employees, thousands, paper manufacturing, not seasonally adjusted",,1990,M01,2024,M05
1025,32322000,322,AO,Paper manufacturing,4.0,T,246.0,CEU3232200003,32,3,U,"Average hourly earnings of all employees, paper manufacturing, not seasonally adjusted",,2006,M03,2024,M05
1077,32323000,323,AO,Printing and related support activities,4.0,T,252.0,CEU3232300001,32,1,U,"All employees, thousands, printing and related support activities, not seasonally adjusted",,1990,M01,2024,M05
1079,32323000,323,AO,Printing and related support activities,4.0,T,252.0,CEU3232300003,32,3,U,"Average hourly earnings of all employees, printing and related support activities, not seasonally adjusted",,2006,M03,2024,M05
1106,32324000,324,B,Petroleum and coal products manufacturing,4.0,T,254.0,CEU3232400001,32,1,U,"All employees, thousands, petroleum and coal products manufacturing, not seasonally adjusted",,1990,M01,2024,M05
1135,32325000,325,AO,Chemical manufacturing,4.0,T,257.0,CEU3232500001,32,1,U,"All employees, thousands, chemical manufacturing, not seasonally adjusted",,1990,M01,2024,M05
1137,32325000,325,AO,Chemical manufacturing,4.0,T,257.0,CEU3232500003,32,3,U,"Average hourly earnings of all employees, chemical manufacturing, not seasonally adjusted",,2006,M03,2024,M05
1189,32326000,326,AO,Plastics and rubber products manufacturing,4.0,T,272.0,CEU3232600001,32,1,U,"All employees, thousands, plastics and rubber products manufacturing, not seasonally adjusted",,1990,M01,2024,M05
1191,32326000,326,AO,Plastics and rubber products manufacturing,4.0,T,272.0,CEU3232600003,32,3,U,"Average hourly earnings of all employees, plastics and rubber products manufacturing, not seasonally adjusted",,2006,M03,2024,M05
1237,41423000,423,A,"Merchant wholesalers, durable goods",4.0,T,290.0,CEU4142300001,41,1,U,"All employees, thousands, merchant wholesalers, durable goods, not seasonally adjusted",,1990,M01,2024,M05
1239,41423000,423,A,"Merchant wholesalers, durable goods",4.0,T,290.0,CEU4142300003,41,3,U,"Average hourly earnings of all employees, merchant wholesalers, durable goods, not seasonally adjusted",,2006,M03,2024,M04
1279,41424000,424,A,"Merchant wholesalers, nondurable goods",4.0,T,326.0,CEU4142400001,41,1,U,"All employees, thousands, merchant wholesalers, nondurable goods, not seasonally adjusted",,1990,M01,2024,M05
1281,41424000,424,A,"Merchant wholesalers, nondurable goods",4.0,T,326.0,CEU4142400003,41,3,U,"Average hourly earnings of all employees, merchant wholesalers, nondurable goods, not seasonally adjusted",,2006,M03,2024,M04
1321,41425000,425,A,Wholesale trade agents and brokers,4.0,T,347.0,CEU4142500001,41,1,U,"All employees, thousands, wholesale trade agents and brokers, not seasonally adjusted",,1990,M01,2024,M05
1323,41425000,425,A,Wholesale trade agents and brokers,4.0,T,347.0,CEU4142500003,41,3,U,"Average hourly earnings of all employees, wholesale trade agents and brokers, not seasonally adjusted",,2006,M03,2024,M04
1363,42441000,441,A,Motor vehicle and parts dealers,4.0,T,349.0,CEU4244100001,42,1,U,"All employees, thousands, motor vehicle and parts dealers, not seasonally adjusted",,1990,M01,2024,M05
1365,42441000,441,A,Motor vehicle and parts dealers,4.0,T,349.0,CEU4244100003,42,3,U,"Average hourly earnings of all employees, motor vehicle and parts dealers, not seasonally adjusted",,2006,M03,2024,M04
1405,42444000,444,A,Building material and garden equipment and supplies dealers,4.0,T,359.0,CEU4244400001,42,1,U,"All employees, thousands, building material and garden equipment and supplies dealers, not seasonally adjusted",,1990,M01,2024,M05
1407,42444000,444,A,Building material and garden equipment and supplies dealers,4.0,T,359.0,CEU4244400003,42,3,U,"Average hourly earnings of all employees, building material and garden equipment and supplies dealers, not seasonally adjusted",,2006,M03,2024,M04
1447,42445000,445,A,Food and beverage retailers,4.0,T,366.0,CEU4244500001,42,1,U,"All employees, thousands, food and beverage retailers, not seasonally adjusted",,1990,M01,2024,M05
1449,42445000,445,A,Food and beverage retailers,4.0,T,366.0,CEU4244500003,42,3,U,"Average hourly earnings of all employees, food and beverage retailers, not seasonally adjusted",,2006,M03,2024,M04
1489,42449000,449,A,"Furniture, home furnishings, electronics, and appliance retailers",4.0,T,377.0,CEU4244900001,42,1,U,"All employees, thousands, furniture, home furnishings, electronics, and appliance retailers, not seasonally adjusted",,1990,M01,2024,M05
1491,42449000,449,A,"Furniture, home furnishings, electronics, and appliance retailers",4.0,T,377.0,CEU4244900003,42,3,U,"Average hourly earnings of all employees, furniture, home furnishings, electronics, and appliance retailers, not seasonally adjusted",,2006,M03,2024,M04
1531,42455000,455,A,General merchandise retailers,4.0,T,384.0,CEU4245500001,42,1,U,"All employees, thousands, general merchandise retailers, not seasonally adjusted",,1990,M01,2024,M05
1533,42455000,455,A,General merchandise retailers,4.0,T,384.0,CEU4245500003,42,3,U,"Average hourly earnings of all employees, general merchandise retailers, not seasonally adjusted",,2006,M03,2024,M04
1573,42456000,456,A,Health and personal care retailers,4.0,T,389.0,CEU4245600001,42,1,U,"All employees, thousands, health and personal care retailers, not seasonally adjusted",,1990,M01,2024,M05
1575,42456000,456,A,Health and personal care retailers,4.0,T,389.0,CEU4245600003,42,3,U,"Average hourly earnings of all employees, health and personal care retailers, not seasonally adjusted",,2006,M03,2024,M04
1615,42457000,457,A,Gasoline stations and fuel dealers,4.0,T,396.0,CEU4245700001,42,1,U,"All employees, thousands, gasoline stations and fuel dealers, not seasonally adjusted",,1990,M01,2024,M05
1617,42457000,457,A,Gasoline stations and fuel dealers,4.0,T,396.0,CEU4245700003,42,3,U,"Average hourly earnings of all employees, gasoline stations and fuel dealers, not seasonally adjusted",,2006,M03,2024,M04
1657,42458000,458,A,"Clothing, clothing accessories, shoe, and jewelry retailers",4.0,T,401.0,CEU4245800001,42,1,U,"All employees, thousands, clothing, clothing accessories, shoe, and jewelry retailers, not seasonally adjusted",,1990,M01,2024,M05
1659,42458000,458,A,"Clothing, clothing accessories, shoe, and jewelry retailers",4.0,T,401.0,CEU4245800003,42,3,U,"Average hourly earnings of all employees, clothing, clothing accessories, shoe, and jewelry retailers, not seasonally adjusted",,2006,M03,2024,M04
1699,42459000,459,A,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers",4.0,T,405.0,CEU4245900001,42,1,U,"All employees, thousands, sporting goods, hobby, musical instrument, book, and miscellaneous retailers, not seasonally adjusted",,1990,M01,2024,M05
1701,42459000,459,A,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers",4.0,T,405.0,CEU4245900003,42,3,U,"Average hourly earnings of all employees, sporting goods, hobby, musical instrument, book, and miscellaneous retailers, not seasonally adjusted",,2006,M03,2024,M04
1741,43481000,481,A,Air transportation,4.0,T,423.0,CEU4348100001,43,1,U,"All employees, thousands, air transportation, not seasonally adjusted",,1990,M01,2024,M05
1743,43481000,481,A,Air transportation,4.0,T,423.0,CEU4348100003,43,3,U,"Average hourly earnings of all employees, air transportation, not seasonally adjusted",,2006,M03,2024,M04
1763,43482000,482,C,Rail transportation,4.0,T,426.0,CEU4348200001,43,1,U,"All employees, thousands, rail transportation, not seasonally adjusted",,1947,M01,2024,M05
1766,43483000,483,B,Water transportation,4.0,T,427.0,CEU4348300001,43,1,U,"All employees, thousands, water transportation, not seasonally adjusted",,1990,M01,2024,M05
1789,43484000,484,A,Truck transportation,4.0,T,428.0,CEU4348400001,43,1,U,"All employees, thousands, truck transportation, not seasonally adjusted",,1990,M01,2024,M05
1791,43484000,484,A,Truck transportation,4.0,T,428.0,CEU4348400003,43,3,U,"Average hourly earnings of all employees, truck transportation, not seasonally adjusted",,2006,M03,2024,M04
1831,43485000,485,A,Transit and ground passenger transportation,4.0,T,438.0,CEU4348500001,43,1,U,"All employees, thousands, transit and ground passenger transportation, not seasonally adjusted",,1990,M01,2024,M05
1833,43485000,485,A,Transit and ground passenger transportation,4.0,T,438.0,CEU4348500003,43,3,U,"Average hourly earnings of all employees, transit and ground passenger transportation, not seasonally adjusted",,2006,M03,2024,M04
1854,43486000,486,B,Pipeline transportation,4.0,T,443.0,CEU4348600001,43,1,U,"All employees, thousands, pipeline transportation, not seasonally adjusted",,1990,M01,2024,M05
1858,43487000,487,B,Scenic and sightseeing transportation,4.0,T,444.0,CEU4348700001,43,1,U,"All employees, thousands, scenic and sightseeing transportation, not seasonally adjusted",,1990,M01,2024,M05
1881,43488000,488,A,Support activities for transportation,4.0,T,445.0,CEU4348800001,43,1,U,"All employees, thousands, support activities for transportation, not seasonally adjusted",,1990,M01,2024,M05
1883,43488000,488,A,Support activities for transportation,4.0,T,445.0,CEU4348800003,43,3,U,"Average hourly earnings of all employees, support activities for transportation, not seasonally adjusted",,2006,M03,2024,M04
1923,43492000,492,A,Couriers and messengers,4.0,T,452.0,CEU4349200001,43,1,U,"All employees, thousands, couriers and messengers, not seasonally adjusted",,1990,M01,2024,M05
1925,43492000,492,A,Couriers and messengers,4.0,T,452.0,CEU4349200003,43,3,U,"Average hourly earnings of all employees, couriers and messengers, not seasonally adjusted",,2006,M03,2024,M04
1965,43493000,493,A,Warehousing and storage,4.0,T,455.0,CEU4349300001,43,1,U,"All employees, thousands, warehousing and storage, not seasonally adjusted",,1990,M01,2024,M05
1967,43493000,493,A,Warehousing and storage,4.0,T,455.0,CEU4349300003,43,3,U,"Average hourly earnings of all employees, warehousing and storage, not seasonally adjusted",,2006,M03,2024,M04
2007,50512000,512,A,Motion picture and sound recording industries,4.0,T,470.0,CEU5051200001,50,1,U,"All employees, thousands, motion picture and sound recording industries, not seasonally adjusted",,1990,M01,2024,M05
2009,50512000,512,A,Motion picture and sound recording industries,4.0,T,470.0,CEU5051200003,50,3,U,"Average hourly earnings of all employees, motion picture and sound recording industries, not seasonally adjusted",,2006,M03,2024,M04
2049,50513000,513,A,Publishing industries,4.0,T,473.0,CEU5051300001,50,1,U,"All employees, thousands, publishing industries, not seasonally adjusted",,1990,M01,2024,M05
2051,50513000,513,A,Publishing industries,4.0,T,473.0,CEU5051300003,50,3,U,"Average hourly earnings of all employees, publishing industries, not seasonally adjusted",,2006,M03,2024,M04
2091,50516000,516,A,Broadcasting and content providers,4.0,T,480.0,CEU5051600001,50,1,U,"All employees, thousands, broadcasting and content providers, not seasonally adjusted",,1990,M01,2024,M05
2093,50516000,516,A,Broadcasting and content providers,4.0,T,480.0,CEU5051600003,50,3,U,"Average hourly earnings of all employees, broadcasting and content providers, not seasonally adjusted",,2006,M03,2024,M04
2133,50517000,517,A,Telecommunications,4.0,T,485.0,CEU5051700001,50,1,U,"All employees, thousands, telecommunications, not seasonally adjusted",,1990,M01,2024,M05
2135,50517000,517,A,Telecommunications,4.0,T,485.0,CEU5051700003,50,3,U,"Average hourly earnings of all employees, telecommunications, not seasonally adjusted",,2006,M03,2024,M04
2175,50518000,518,A,"Computing infrastructure providers, data processing, web hosting, and related services",4.0,T,492.0,CEU5051800001,50,1,U,"All employees, thousands, computing infrastructure providers, data processing, web hosting, and related services, not seasonally adjusted",,1990,M01,2024,M05
2177,50518000,518,A,"Computing infrastructure providers, data processing, web hosting, and related services",4.0,T,492.0,CEU5051800003,50,3,U,"Average hourly earnings of all employees, computing infrastructure providers, data processing, web hosting, and related services, not seasonally adjusted",,2006,M03,2024,M04
2217,50519000,519,A,"Web search portals, libraries, archives, and other information services",4.0,T,493.0,CEU5051900001,50,1,U,"All employees, thousands, web search portals, libraries, archives, and other information services, not seasonally adjusted",,1990,M01,2024,M05
2219,50519000,519,A,"Web search portals, libraries, archives, and other information services",4.0,T,493.0,CEU5051900003,50,3,U,"Average hourly earnings of all employees, web search portals, libraries, archives, and other information services, not seasonally adjusted",,2006,M03,2024,M04
2239,55521000,521,C,Monetary authorities-central bank,4.0,T,498.0,CEU5552100001,55,1,U,"All employees, thousands, monetary authorities-central bank, not seasonally adjusted",,1990,M01,2024,M05
2261,55522000,522,A,Credit intermediation and related activities,4.0,T,499.0,CEU5552200001,55,1,U,"All employees, thousands, credit intermediation and related activities, not seasonally adjusted",,1990,M01,2024,M05
2263,55522000,522,A,Credit intermediation and related activities,4.0,T,499.0,CEU5552200003,55,3,U,"Average hourly earnings of all employees, credit intermediation and related activities, not seasonally adjusted",,2006,M03,2024,M04
2303,55524000,524,A,Insurance carriers and related activities,4.0,T,522.0,CEU5552400001,55,1,U,"All employees, thousands, insurance carriers and related activities, not seasonally adjusted",,1990,M01,2024,M05
2305,55524000,524,A,Insurance carriers and related activities,4.0,T,522.0,CEU5552400003,55,3,U,"Average hourly earnings of all employees, insurance carriers and related activities, not seasonally adjusted",,2006,M03,2024,M04
2345,55531000,531,A,Real estate,4.0,T,536.0,CEU5553100001,55,1,U,"All employees, thousands, real estate, not seasonally adjusted",,1990,M01,2024,M05
2347,55531000,531,A,Real estate,4.0,T,536.0,CEU5553100003,55,3,U,"Average hourly earnings of all employees, real estate, not seasonally adjusted",,2006,M03,2024,M04
2387,55532000,532,A,Rental and leasing services,4.0,T,549.0,CEU5553200001,55,1,U,"All employees, thousands, rental and leasing services, not seasonally adjusted",,1990,M01,2024,M05
2389,55532000,532,A,Rental and leasing services,4.0,T,549.0,CEU5553200003,55,3,U,"Average hourly earnings of all employees, rental and leasing services, not seasonally adjusted",,2006,M03,2024,M04
2409,55533000,533,C,Lessors of nonfinancial intangible assets (except copyrighted works),4.0,T,559.0,CEU5553300001,55,1,U,"All employees, thousands, lessors of nonfinancial intangible assets (except copyrighted works), not seasonally adjusted",,1990,M01,2024,M05
2431,60561000,561,A,Administrative and support services,4.0,T,615.0,CEU6056100001,60,1,U,"All employees, thousands, administrative and support services, not seasonally adjusted",,1990,M01,2024,M05
2433,60561000,561,A,Administrative and support services,4.0,T,615.0,CEU6056100003,60,3,U,"Average hourly earnings of all employees, administrative and support services, not seasonally adjusted",,2006,M03,2024,M04
2473,60562000,562,A,Waste management and remediation services,4.0,T,651.0,CEU6056200001,60,1,U,"All employees, thousands, waste management and remediation services, not seasonally adjusted",,1990,M01,2024,M05
2475,60562000,562,A,Waste management and remediation services,4.0,T,651.0,CEU6056200003,60,3,U,"Average hourly earnings of all employees, waste management and remediation services, not seasonally adjusted",,2006,M03,2024,M04
2515,65621000,621,A,Ambulatory health care services,4.0,T,674.0,CEU6562100001,65,1,U,"All employees, thousands, ambulatory health care services, not seasonally adjusted",,1990,M01,2024,M05
2517,65621000,621,A,Ambulatory health care services,4.0,T,674.0,CEU6562100003,65,3,U,"Average hourly earnings of all employees, ambulatory health care services, not seasonally adjusted",,2006,M03,2024,M04
2557,65622000,622,A,Hospitals,4.0,T,703.0,CEU6562200001,65,1,U,"All employees, thousands, hospitals, not seasonally adjusted",,1990,M01,2024,M05
2559,65622000,622,A,Hospitals,4.0,T,703.0,CEU6562200003,65,3,U,"Average hourly earnings of all employees, hospitals, not seasonally adjusted",,2006,M03,2024,M04
2599,65623000,623,A,Nursing and residential care facilities,4.0,T,707.0,CEU6562300001,65,1,U,"All employees, thousands, nursing and residential care facilities, not seasonally adjusted",,1990,M01,2024,M05
2601,65623000,623,A,Nursing and residential care facilities,4.0,T,707.0,CEU6562300003,65,3,U,"Average hourly earnings of all employees, nursing and residential care facilities, not seasonally adjusted",,2006,M03,2024,M04
2641,65624000,624,A,Social assistance,4.0,T,716.0,CEU6562400001,65,1,U,"All employees, thousands, social assistance, not seasonally adjusted",,1990,M01,2024,M05
2643,65624000,624,A,Social assistance,4.0,T,716.0,CEU6562400003,65,3,U,"Average hourly earnings of all employees, social assistance, not seasonally adjusted",,2006,M03,2024,M04
2683,70711000,711,A,"Performing arts, spectator sports, and related industries",4.0,T,728.0,CEU7071100001,70,1,U,"All employees, thousands, performing arts, spectator sports, and related industries, not seasonally adjusted",,1990,M01,2024,M05
2685,70711000,711,A,"Performing arts, spectator sports, and related industries",4.0,T,728.0,CEU7071100003,70,3,U,"Average hourly earnings of all employees, performing arts, spectator sports, and related industries, not seasonally adjusted",,2006,M03,2024,M04
2725,70712000,712,A,"Museums, historical sites, and similar institutions",4.0,T,737.0,CEU7071200001,70,1,U,"All employees, thousands, museums, historical sites, and similar institutions, not seasonally adjusted",,1990,M01,2024,M05
2727,70712000,712,A,"Museums, historical sites, and similar institutions",4.0,T,737.0,CEU7071200003,70,3,U,"Average hourly earnings of all employees, museums, historical sites, and similar institutions, not seasonally adjusted",,2006,M03,2024,M04
2767,70713000,713,A,"Amusement, gambling, and recreation industries",4.0,T,740.0,CEU7071300001,70,1,U,"All employees, thousands, amusement, gambling, and recreation industries, not seasonally adjusted",,1990,M01,2024,M05
2769,70713000,713,A,"Amusement, gambling, and recreation industries",4.0,T,740.0,CEU7071300003,70,3,U,"Average hourly earnings of all employees, amusement, gambling, and recreation industries, not seasonally adjusted",,2006,M03,2024,M04
2809,70721000,721,A,Accommodation,4.0,T,753.0,CEU7072100001,70,1,U,"All employees, thousands, accommodation, not seasonally adjusted",,1972,M01,2024,M05
2811,70721000,721,A,Accommodation,4.0,T,753.0,CEU7072100003,70,3,U,"Average hourly earnings of all employees, accommodation, not seasonally adjusted",,2006,M03,2024,M04
2851,70722000,722,A,Food services and drinking places,4.0,T,761.0,CEU7072200001,70,1,U,"All employees, thousands, food services and drinking places, not seasonally adjusted",,1990,M01,2024,M05
2853,70722000,722,A,Food services and drinking places,4.0,T,761.0,CEU7072200003,70,3,U,"Average hourly earnings of all employees, food services and drinking places, not seasonally adjusted",,2006,M03,2024,M04
2893,80811000,811,A,Repair and maintenance,4.0,T,772.0,CEU8081100001,80,1,U,"All employees, thousands, repair and maintenance, not seasonally adjusted",,1990,M01,2024,M05
2895,80811000,811,A,Repair and maintenance,4.0,T,772.0,CEU8081100003,80,3,U,"Average hourly earnings of all employees, repair and maintenance, not seasonally adjusted",,2006,M03,2024,M04
2935,80812000,812,A,Personal and laundry services,4.0,T,786.0,CEU8081200001,80,1,U,"All employees, thousands, personal and laundry services, not seasonally adjusted",,1990,M01,2024,M05
2937,80812000,812,A,Personal and laundry services,4.0,T,786.0,CEU8081200003,80,3,U,"Average hourly earnings of all employees, personal and laundry services, not seasonally adjusted",,2006,M03,2024,M04
2977,80813000,813,A,"Religious, grantmaking, civic, professional, and similar organizations",4.0,T,805.0,CEU8081300001,80,1,U,"All employees, thousands, religious, grantmaking, civic, professional, and similar organizations, not seasonally adjusted",,1990,M01,2024,M05
2979,80813000,813,A,"Religious, grantmaking, civic, professional, and similar organizations",4.0,T,805.0,CEU8081300003,80,3,U,"Average hourly earnings of all employees, religious, grantmaking, civic, professional, and similar organizations, not seasonally adjusted",,2006,M03,2024,M04
3000,32329000,"312,6",B,"Beverage, tobacco, and leather and allied product manufacturing",4.0,T,282.0,CEU3232900001,32,1,U,"All employees, thousands, beverage, tobacco, and leather and allied product manufacturing, not seasonally adjusted",,1990,M01,2024,M05
3023,55523000,"523,5",A,"Securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities",4.0,T,515.0,CEU5552300001,55,1,U,"All employees, thousands, securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities, not seasonally adjusted",,1990,M01,2024,M05
3025,55523000,"523,5",A,"Securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities",4.0,T,515.0,CEU5552300003,55,3,U,"Average hourly earnings of all employees, securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities, not seasonally adjusted",,2006,M03,2024,M04
3065,44220000,22,A,Utilities,3.0,T,459.0,CEU4422000001,44,1,U,"All employees, thousands, utilities, not seasonally adjusted",,1964,M01,2024,M05
3067,44220000,22,A,Utilities,3.0,T,459.0,CEU4422000003,44,3,U,"Average hourly earnings of all employees, utilities, not seasonally adjusted",,2006,M03,2024,M05
3107,60540000,54,A,"Professional, scientific, and technical services",3.0,T,561.0,CEU6054000001,60,1,U,"All employees, thousands, professional, scientific, and technical services, not seasonally adjusted",,1990,M01,2024,M05
3109,60540000,54,A,"Professional, scientific, and technical services",3.0,T,561.0,CEU6054000003,60,3,U,"Average hourly earnings of all employees, professional, scientific, and technical services, not seasonally adjusted",,2006,M03,2024,M04
3149,60550000,55,A,Management of companies and enterprises,3.0,T,611.0,CEU6055000001,60,1,U,"All employees, thousands, management of companies and enterprises, not seasonally adjusted",,1990,M01,2024,M05
3151,60550000,55,A,Management of companies and enterprises,3.0,T,611.0,CEU6055000003,60,3,U,"Average hourly earnings of all employees, management of companies and enterprises, not seasonally adjusted",,2006,M03,2024,M04
