,industry_code,naics_code,publishing_status,industry_name,display_level,selectable,sort_sequence,series_id,supersector_code,data_type_code,seasonal,series_title,footnote_codes,begin_year,begin_period,end_year,end_period
659,31336000,336,AO,Transportation equipment manufacturing,4.0,T,173.0,CEU3133600003,31,03,U,"Average hourly earnings of all employees, transportation equipment manufacturing, not seasonally adjusted",,2006,M03,2026,M02
711,31337000,337,AO,Furniture and related product manufacturing,4.0,T,192.0,CEU3133700001,31,01,U,"All employees, thousands, furniture and related product manufacturing, not seasonally adjusted",,1990,M01,2026,M02
713,31337000,337,AO,Furniture and related product manufacturing,4.0,T,192.0,CEU3133700003,31,03,U,"Average hourly earnings of all employees, furniture and related product manufacturing, not seasonally adjusted",,2006,M03,2026,M02
765,31339000,339,AO,Miscellaneous manufacturing,4.0,T,201.0,CEU3133900001,31,01,U,"All employees, thousands, miscellaneous manufacturing, not seasonally adjusted",,1990,M01,2026,M02
767,31339000,339,AO,Miscellaneous manufacturing,4.0,T,201.0,CEU3133900003,31,03,U,"Average hourly earnings of all employees, miscellaneous manufacturing, not seasonally adjusted",,2006,M03,2026,M02
819,32311000,311,AO,Food manufacturing,4.0,T,211.0,CEU3231100001,32,01,U,"All employees, thousands, food manufacturing, not seasonally adjusted",,1990,M01,2026,M02
821,32311000,311,AO,Food manufacturing,4.0,T,211.0,CEU3231100003,32,03,U,"Average hourly earnings of all employees, food manufacturing, not seasonally adjusted",,2006,M03,2026,M02
860,32313000,313,ET,Textile mills,4.0,T,236.0,CEU3231300001,32,01,U,"All employees, thousands, textile mills, not seasonally adjusted",,1990,M01,2026,M02
862,32313000,313,ET,Textile mills,4.0,T,236.0,CEU3231300003,32,03,U,"Average hourly earnings of all employees, textile mills, not seasonally adjusted",,2006,M03,2026,M02
898,32314000,314,AT,Textile product mills,4.0,T,238.0,CEU3231400001,32,01,U,"All employees, thousands, textile product mills, not seasonally adjusted",,1990,M01,2026,M02
900,32314000,314,AT,Textile product mills,4.0,T,238.0,CEU3231400003,32,03,U,"Average hourly earnings of all employees, textile product mills, not seasonally adjusted",,2006,M03,2026,M02
936,32315000,315,ET,Apparel manufacturing,4.0,T,241.0,CEU3231500001,32,01,U,"All employees, thousands, apparel manufacturing, not seasonally adjusted",,1990,M01,2026,M02
938,32315000,315,ET,Apparel manufacturing,4.0,T,241.0,CEU3231500003,32,03,U,"Average hourly earnings of all employees, apparel manufacturing, not seasonally adjusted",,2006,M03,2026,M02
977,32322000,322,AO,Paper manufacturing,4.0,T,243.0,CEU3232200001,32,01,U,"All employees, thousands, paper manufacturing, not seasonally adjusted",,1990,M01,2026,M02
979,32322000,322,AO,Paper manufacturing,4.0,T,243.0,CEU3232200003,32,03,U,"Average hourly earnings of all employees, paper manufacturing, not seasonally adjusted",,2006,M03,2026,M02
1031,32323000,323,AO,Printing and related support activities,4.0,T,249.0,CEU3232300001,32,01,U,"All employees, thousands, printing and related support activities, not seasonally adjusted",,1990,M01,2026,M02
1033,32323000,323,AO,Printing and related support activities,4.0,T,249.0,CEU3232300003,32,03,U,"Average hourly earnings of all employees, printing and related support activities, not seasonally adjusted",,2006,M03,2026,M02
1060,32324000,324,B,Petroleum and coal products manufacturing,4.0,T,252.0,CEU3232400001,32,01,U,"All employees, thousands, petroleum and coal products manufacturing, not seasonally adjusted",,1990,M01,2026,M02
1089,32325000,325,AO,Chemical manufacturing,4.0,T,255.0,CEU3232500001,32,01,U,"All employees, thousands, chemical manufacturing, not seasonally adjusted",,1990,M01,2026,M02
1091,32325000,325,AO,Chemical manufacturing,4.0,T,255.0,CEU3232500003,32,03,U,"Average hourly earnings of all employees, chemical manufacturing, not seasonally adjusted",,2006,M03,2026,M02
1143,32326000,326,AO,Plastics and rubber products manufacturing,4.0,T,270.0,CEU3232600001,32,01,U,"All employees, thousands, plastics and rubber products manufacturing, not seasonally adjusted",,1990,M01,2026,M02
1145,32326000,326,AO,Plastics and rubber products manufacturing,4.0,T,270.0,CEU3232600003,32,03,U,"Average hourly earnings of all employees, plastics and rubber products manufacturing, not seasonally adjusted",,2006,M03,2026,M02
1191,41423000,423,A,"Merchant wholesalers, durable goods",4.0,T,288.0,CEU4142300001,41,01,U,"All employees, thousands, merchant wholesalers, durable goods, not seasonally adjusted",,1990,M01,2026,M02
1193,41423000,423,A,"Merchant wholesalers, durable goods",4.0,T,288.0,CEU4142300003,41,03,U,"Average hourly earnings of all employees, merchant wholesalers, durable goods, not seasonally adjusted",,2006,M03,2026,M01
1233,41424000,424,A,"Merchant wholesalers, nondurable goods",4.0,T,324.0,CEU4142400001,41,01,U,"All employees, thousands, merchant wholesalers, nondurable goods, not seasonally adjusted",,1990,M01,2026,M02
1235,41424000,424,A,"Merchant wholesalers, nondurable goods",4.0,T,324.0,CEU4142400003,41,03,U,"Average hourly earnings of all employees, merchant wholesalers, nondurable goods, not seasonally adjusted",,2006,M03,2026,M01
1275,41425000,425,A,Wholesale trade agents and brokers,4.0,T,350.0,CEU4142500001,41,01,U,"All employees, thousands, wholesale trade agents and brokers, not seasonally adjusted",,1990,M01,2026,M02
1277,41425000,425,A,Wholesale trade agents and brokers,4.0,T,350.0,CEU4142500003,41,03,U,"Average hourly earnings of all employees, wholesale trade agents and brokers, not seasonally adjusted",,2006,M03,2026,M01
1317,42441000,441,A,Motor vehicle and parts dealers,4.0,T,352.0,CEU4244100001,42,01,U,"All employees, thousands, motor vehicle and parts dealers, not seasonally adjusted",,1990,M01,2026,M02
1319,42441000,441,A,Motor vehicle and parts dealers,4.0,T,352.0,CEU4244100003,42,03,U,"Average hourly earnings of all employees, motor vehicle and parts dealers, not seasonally adjusted",,2006,M03,2026,M01
1359,42444000,444,A,Building material and garden equipment and supplies dealers,4.0,T,362.0,CEU4244400001,42,01,U,"All employees, thousands, building material and garden equipment and supplies dealers, not seasonally adjusted",,1990,M01,2026,M02
1361,42444000,444,A,Building material and garden equipment and supplies dealers,4.0,T,362.0,CEU4244400003,42,03,U,"Average hourly earnings of all employees, building material and garden equipment and supplies dealers, not seasonally adjusted",,2006,M03,2026,M01
1401,42445000,445,A,Food and beverage retailers,4.0,T,369.0,CEU4244500001,42,01,U,"All employees, thousands, food and beverage retailers, not seasonally adjusted",,1990,M01,2026,M02
1403,42445000,445,A,Food and beverage retailers,4.0,T,369.0,CEU4244500003,42,03,U,"Average hourly earnings of all employees, food and beverage retailers, not seasonally adjusted",,2006,M03,2026,M01
1443,42449000,449,A,"Furniture, home furnishings, electronics, and appliance retailers",4.0,T,382.0,CEU4244900001,42,01,U,"All employees, thousands, furniture, home furnishings, electronics, and appliance retailers, not seasonally adjusted",,1990,M01,2026,M02
1445,42449000,449,A,"Furniture, home furnishings, electronics, and appliance retailers",4.0,T,382.0,CEU4244900003,42,03,U,"Average hourly earnings of all employees, furniture, home furnishings, electronics, and appliance retailers, not seasonally adjusted",,2006,M03,2026,M01
1485,42455000,455,A,General merchandise retailers,4.0,T,389.0,CEU4245500001,42,01,U,"All employees, thousands, general merchandise retailers, not seasonally adjusted",,1990,M01,2026,M02
1487,42455000,455,A,General merchandise retailers,4.0,T,389.0,CEU4245500003,42,03,U,"Average hourly earnings of all employees, general merchandise retailers, not seasonally adjusted",,2006,M03,2026,M01
1527,42456000,456,A,Health and personal care retailers,4.0,T,392.0,CEU4245600001,42,01,U,"All employees, thousands, health and personal care retailers, not seasonally adjusted",,1990,M01,2026,M02
1529,42456000,456,A,Health and personal care retailers,4.0,T,392.0,CEU4245600003,42,03,U,"Average hourly earnings of all employees, health and personal care retailers, not seasonally adjusted",,2006,M03,2026,M01
1569,42457000,457,A,Gasoline stations and fuel dealers,4.0,T,399.0,CEU4245700001,42,01,U,"All employees, thousands, gasoline stations and fuel dealers, not seasonally adjusted",,1990,M01,2026,M02
1571,42457000,457,A,Gasoline stations and fuel dealers,4.0,T,399.0,CEU4245700003,42,03,U,"Average hourly earnings of all employees, gasoline stations and fuel dealers, not seasonally adjusted",,2006,M03,2026,M01
1611,42458000,458,A,"Clothing, clothing accessories, shoe, and jewelry retailers",4.0,T,404.0,CEU4245800001,42,01,U,"All employees, thousands, clothing, clothing accessories, shoe, and jewelry retailers, not seasonally adjusted",,1990,M01,2026,M02
1613,42458000,458,A,"Clothing, clothing accessories, shoe, and jewelry retailers",4.0,T,404.0,CEU4245800003,42,03,U,"Average hourly earnings of all employees, clothing, clothing accessories, shoe, and jewelry retailers, not seasonally adjusted",,2006,M03,2026,M01
1653,42459000,459,A,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers",4.0,T,408.0,CEU4245900001,42,01,U,"All employees, thousands, sporting goods, hobby, musical instrument, book, and miscellaneous retailers, not seasonally adjusted",,1990,M01,2026,M02
1655,42459000,459,A,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers",4.0,T,408.0,CEU4245900003,42,03,U,"Average hourly earnings of all employees, sporting goods, hobby, musical instrument, book, and miscellaneous retailers, not seasonally adjusted",,2006,M03,2026,M01
1695,43481000,481,A,Air transportation,4.0,T,426.0,CEU4348100001,43,01,U,"All employees, thousands, air transportation, not seasonally adjusted",,1990,M01,2026,M02
1697,43481000,481,A,Air transportation,4.0,T,426.0,CEU4348100003,43,03,U,"Average hourly earnings of all employees, air transportation, not seasonally adjusted",,2006,M03,2026,M01
1717,43482000,482,C,Rail transportation,4.0,T,429.0,CEU4348200001,43,01,U,"All employees, thousands, rail transportation, not seasonally adjusted",,1947,M01,2026,M02
1720,43483000,483,B,Water transportation,4.0,T,430.0,CEU4348300001,43,01,U,"All employees, thousands, water transportation, not seasonally adjusted",,1990,M01,2026,M02
1743,43484000,484,A,Truck transportation,4.0,T,431.0,CEU4348400001,43,01,U,"All employees, thousands, truck transportation, not seasonally adjusted",,1990,M01,2026,M02
1745,43484000,484,A,Truck transportation,4.0,T,431.0,CEU4348400003,43,03,U,"Average hourly earnings of all employees, truck transportation, not seasonally adjusted",,2006,M03,2026,M01
1785,43485000,485,A,Transit and ground passenger transportation,4.0,T,441.0,CEU4348500001,43,01,U,"All employees, thousands, transit and ground passenger transportation, not seasonally adjusted",,1990,M01,2026,M02
1787,43485000,485,A,Transit and ground passenger transportation,4.0,T,441.0,CEU4348500003,43,03,U,"Average hourly earnings of all employees, transit and ground passenger transportation, not seasonally adjusted",,2006,M03,2026,M01
1808,43486000,486,B,Pipeline transportation,4.0,T,446.0,CEU4348600001,43,01,U,"All employees, thousands, pipeline transportation, not seasonally adjusted",,1990,M01,2026,M02
1812,43487000,487,B,Scenic and sightseeing transportation,4.0,T,447.0,CEU4348700001,43,01,U,"All employees, thousands, scenic and sightseeing transportation, not seasonally adjusted",,1990,M01,2026,M02
1835,43488000,488,A,Support activities for transportation,4.0,T,448.0,CEU4348800001,43,01,U,"All employees, thousands, support activities for transportation, not seasonally adjusted",,1990,M01,2026,M02
1837,43488000,488,A,Support activities for transportation,4.0,T,448.0,CEU4348800003,43,03,U,"Average hourly earnings of all employees, support activities for transportation, not seasonally adjusted",,2006,M03,2026,M01
1877,43492000,492,A,Couriers and messengers,4.0,T,455.0,CEU4349200001,43,01,U,"All employees, thousands, couriers and messengers, not seasonally adjusted",,1990,M01,2026,M02
1879,43492000,492,A,Couriers and messengers,4.0,T,455.0,CEU4349200003,43,03,U,"Average hourly earnings of all employees, couriers and messengers, not seasonally adjusted",,2006,M03,2026,M01
1919,43493000,493,A,Warehousing and storage,4.0,T,458.0,CEU4349300001,43,01,U,"All employees, thousands, warehousing and storage, not seasonally adjusted",,1990,M01,2026,M02
1921,43493000,493,A,Warehousing and storage,4.0,T,458.0,CEU4349300003,43,03,U,"Average hourly earnings of all employees, warehousing and storage, not seasonally adjusted",,2006,M03,2026,M01
1961,50512000,512,A,Motion picture and sound recording industries,4.0,T,473.0,CEU5051200001,50,01,U,"All employees, thousands, motion picture and sound recording industries, not seasonally adjusted",,1990,M01,2026,M02
1963,50512000,512,A,Motion picture and sound recording industries,4.0,T,473.0,CEU5051200003,50,03,U,"Average hourly earnings of all employees, motion picture and sound recording industries, not seasonally adjusted",,2006,M03,2026,M01
2003,50513000,513,A,Publishing industries,4.0,T,476.0,CEU5051300001,50,01,U,"All employees, thousands, publishing industries, not seasonally adjusted",,1990,M01,2026,M02
2005,50513000,513,A,Publishing industries,4.0,T,476.0,CEU5051300003,50,03,U,"Average hourly earnings of all employees, publishing industries, not seasonally adjusted",,2006,M03,2026,M01
2045,50516000,516,A,Broadcasting and content providers,4.0,T,483.0,CEU5051600001,50,01,U,"All employees, thousands, broadcasting and content providers, not seasonally adjusted",,1990,M01,2026,M02
2047,50516000,516,A,Broadcasting and content providers,4.0,T,483.0,CEU5051600003,50,03,U,"Average hourly earnings of all employees, broadcasting and content providers, not seasonally adjusted",,2006,M03,2026,M01
2087,50517000,517,A,Telecommunications,4.0,T,488.0,CEU5051700001,50,01,U,"All employees, thousands, telecommunications, not seasonally adjusted",,1990,M01,2026,M02
2089,50517000,517,A,Telecommunications,4.0,T,488.0,CEU5051700003,50,03,U,"Average hourly earnings of all employees, telecommunications, not seasonally adjusted",,2006,M03,2026,M01
2129,50518000,518,A,"Computing infrastructure providers, data processing, web hosting, and related services",4.0,T,495.0,CEU5051800001,50,01,U,"All employees, thousands, computing infrastructure providers, data processing, web hosting, and related services, not seasonally adjusted",,1990,M01,2026,M02
2131,50518000,518,A,"Computing infrastructure providers, data processing, web hosting, and related services",4.0,T,495.0,CEU5051800003,50,03,U,"Average hourly earnings of all employees, computing infrastructure providers, data processing, web hosting, and related services, not seasonally adjusted",,2006,M03,2026,M01
2171,50519000,519,A,"Web search portals, libraries, archives, and other information services",4.0,T,496.0,CEU5051900001,50,01,U,"All employees, thousands, web search portals, libraries, archives, and other information services, not seasonally adjusted",,1990,M01,2026,M02
2173,50519000,519,A,"Web search portals, libraries, archives, and other information services",4.0,T,496.0,CEU5051900003,50,03,U,"Average hourly earnings of all employees, web search portals, libraries, archives, and other information services, not seasonally adjusted",,2006,M03,2026,M01
2193,55521000,521,C,Monetary authorities-central bank,4.0,T,501.0,CEU5552100001,55,01,U,"All employees, thousands, monetary authorities-central bank, not seasonally adjusted",,1990,M01,2026,M02
2215,55522000,522,A,Credit intermediation and related activities,4.0,T,502.0,CEU5552200001,55,01,U,"All employees, thousands, credit intermediation and related activities, not seasonally adjusted",,1990,M01,2026,M02
2217,55522000,522,A,Credit intermediation and related activities,4.0,T,502.0,CEU5552200003,55,03,U,"Average hourly earnings of all employees, credit intermediation and related activities, not seasonally adjusted",,2006,M03,2026,M01
2257,55524000,524,A,Insurance carriers and related activities,4.0,T,525.0,CEU5552400001,55,01,U,"All employees, thousands, insurance carriers and related activities, not seasonally adjusted",,1990,M01,2026,M02
2259,55524000,524,A,Insurance carriers and related activities,4.0,T,525.0,CEU5552400003,55,03,U,"Average hourly earnings of all employees, insurance carriers and related activities, not seasonally adjusted",,2006,M03,2026,M01
2299,55531000,531,A,Real estate,4.0,T,539.0,CEU5553100001,55,01,U,"All employees, thousands, real estate, not seasonally adjusted",,1990,M01,2026,M02
2301,55531000,531,A,Real estate,4.0,T,539.0,CEU5553100003,55,03,U,"Average hourly earnings of all employees, real estate, not seasonally adjusted",,2006,M03,2026,M01
2341,55532000,532,A,Rental and leasing services,4.0,T,552.0,CEU5553200001,55,01,U,"All employees, thousands, rental and leasing services, not seasonally adjusted",,1990,M01,2026,M02
2343,55532000,532,A,Rental and leasing services,4.0,T,552.0,CEU5553200003,55,03,U,"Average hourly earnings of all employees, rental and leasing services, not seasonally adjusted",,2006,M03,2026,M01
2363,55533000,533,C,Lessors of nonfinancial intangible assets (except copyrighted works),4.0,T,562.0,CEU5553300001,55,01,U,"All employees, thousands, lessors of nonfinancial intangible assets (except copyrighted works), not seasonally adjusted",,1990,M01,2026,M02
2385,60561000,561,A,Administrative and support services,4.0,T,618.0,CEU6056100001,60,01,U,"All employees, thousands, administrative and support services, not seasonally adjusted",,1990,M01,2026,M02
2387,60561000,561,A,Administrative and support services,4.0,T,618.0,CEU6056100003,60,03,U,"Average hourly earnings of all employees, administrative and support services, not seasonally adjusted",,2006,M03,2026,M01
2427,60562000,562,A,Waste management and remediation services,4.0,T,655.0,CEU6056200001,60,01,U,"All employees, thousands, waste management and remediation services, not seasonally adjusted",,1990,M01,2026,M02
2429,60562000,562,A,Waste management and remediation services,4.0,T,655.0,CEU6056200003,60,03,U,"Average hourly earnings of all employees, waste management and remediation services, not seasonally adjusted",,2006,M03,2026,M01
2469,65621000,621,A,Ambulatory health care services,4.0,T,685.0,CEU6562100001,65,01,U,"All employees, thousands, ambulatory health care services, not seasonally adjusted",,1990,M01,2026,M02
2471,65621000,621,A,Ambulatory health care services,4.0,T,685.0,CEU6562100003,65,03,U,"Average hourly earnings of all employees, ambulatory health care services, not seasonally adjusted",,2006,M03,2026,M01
2511,65622000,622,A,Hospitals,4.0,T,714.0,CEU6562200001,65,01,U,"All employees, thousands, hospitals, not seasonally adjusted",,1990,M01,2026,M02
2513,65622000,622,A,Hospitals,4.0,T,714.0,CEU6562200003,65,03,U,"Average hourly earnings of all employees, hospitals, not seasonally adjusted",,2006,M03,2026,M01
2553,65623000,623,A,Nursing and residential care facilities,4.0,T,718.0,CEU6562300001,65,01,U,"All employees, thousands, nursing and residential care facilities, not seasonally adjusted",,1990,M01,2026,M02
2555,65623000,623,A,Nursing and residential care facilities,4.0,T,718.0,CEU6562300003,65,03,U,"Average hourly earnings of all employees, nursing and residential care facilities, not seasonally adjusted",,2006,M03,2026,M01
2595,65624000,624,A,Social assistance,4.0,T,727.0,CEU6562400001,65,01,U,"All employees, thousands, social assistance, not seasonally adjusted",,1990,M01,2026,M02
2597,65624000,624,A,Social assistance,4.0,T,727.0,CEU6562400003,65,03,U,"Average hourly earnings of all employees, social assistance, not seasonally adjusted",,2006,M03,2026,M01
2637,70711000,711,A,"Performing arts, spectator sports, and related industries",4.0,T,739.0,CEU7071100001,70,01,U,"All employees, thousands, performing arts, spectator sports, and related industries, not seasonally adjusted",,1990,M01,2026,M02
2639,70711000,711,A,"Performing arts, spectator sports, and related industries",4.0,T,739.0,CEU7071100003,70,03,U,"Average hourly earnings of all employees, performing arts, spectator sports, and related industries, not seasonally adjusted",,2006,M03,2026,M01
2679,70712000,712,A,"Museums, historical sites, and similar institutions",4.0,T,748.0,CEU7071200001,70,01,U,"All employees, thousands, museums, historical sites, and similar institutions, not seasonally adjusted",,1990,M01,2026,M02
2681,70712000,712,A,"Museums, historical sites, and similar institutions",4.0,T,748.0,CEU7071200003,70,03,U,"Average hourly earnings of all employees, museums, historical sites, and similar institutions, not seasonally adjusted",,2006,M03,2026,M01
2721,70713000,713,A,"Amusement, gambling, and recreation industries",4.0,T,751.0,CEU7071300001,70,01,U,"All employees, thousands, amusement, gambling, and recreation industries, not seasonally adjusted",,1990,M01,2026,M02
2723,70713000,713,A,"Amusement, gambling, and recreation industries",4.0,T,751.0,CEU7071300003,70,03,U,"Average hourly earnings of all employees, amusement, gambling, and recreation industries, not seasonally adjusted",,2006,M03,2026,M01
2763,70721000,721,A,Accommodation,4.0,T,764.0,CEU7072100001,70,01,U,"All employees, thousands, accommodation, not seasonally adjusted",,1972,M01,2026,M02
2765,70721000,721,A,Accommodation,4.0,T,764.0,CEU7072100003,70,03,U,"Average hourly earnings of all employees, accommodation, not seasonally adjusted",,2006,M03,2026,M01
2805,70722000,722,A,Food services and drinking places,4.0,T,772.0,CEU7072200001,70,01,U,"All employees, thousands, food services and drinking places, not seasonally adjusted",,1990,M01,2026,M02
2807,70722000,722,A,Food services and drinking places,4.0,T,772.0,CEU7072200003,70,03,U,"Average hourly earnings of all employees, food services and drinking places, not seasonally adjusted",,2006,M03,2026,M01
2847,80811000,811,A,Repair and maintenance,4.0,T,783.0,CEU8081100001,80,01,U,"All employees, thousands, repair and maintenance, not seasonally adjusted",,1990,M01,2026,M02
2849,80811000,811,A,Repair and maintenance,4.0,T,783.0,CEU8081100003,80,03,U,"Average hourly earnings of all employees, repair and maintenance, not seasonally adjusted",,2006,M03,2026,M01
2889,80812000,812,A,Personal and laundry services,4.0,T,797.0,CEU8081200001,80,01,U,"All employees, thousands, personal and laundry services, not seasonally adjusted",,1990,M01,2026,M02
2891,80812000,812,A,Personal and laundry services,4.0,T,797.0,CEU8081200003,80,03,U,"Average hourly earnings of all employees, personal and laundry services, not seasonally adjusted",,2006,M03,2026,M01
2931,80813000,813,A,"Religious, grantmaking, civic, professional, and similar organizations",4.0,T,816.0,CEU8081300001,80,01,U,"All employees, thousands, religious, grantmaking, civic, professional, and similar organizations, not seasonally adjusted",,1990,M01,2026,M02
2933,80813000,813,A,"Religious, grantmaking, civic, professional, and similar organizations",4.0,T,816.0,CEU8081300003,80,03,U,"Average hourly earnings of all employees, religious, grantmaking, civic, professional, and similar organizations, not seasonally adjusted",,2006,M03,2026,M01
2954,32329000,"312,6",B,"Beverage, tobacco, and leather and allied product manufacturing",4.0,T,280.0,CEU3232900001,32,01,U,"All employees, thousands, beverage, tobacco, and leather and allied product manufacturing, not seasonally adjusted",,1990,M01,2026,M02
2977,55523000,"523,5",A,"Securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities",4.0,T,518.0,CEU5552300001,55,01,U,"All employees, thousands, securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities, not seasonally adjusted",,1990,M01,2026,M02
2979,55523000,"523,5",A,"Securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities",4.0,T,518.0,CEU5552300003,55,03,U,"Average hourly earnings of all employees, securities, commodity contracts, funds, trusts, and other financial vehicles, investments, and related activities, not seasonally adjusted",,2006,M03,2026,M01
3019,44220000,22,A,Utilities,3.0,T,462.0,CEU4422000001,44,01,U,"All employees, thousands, utilities, not seasonally adjusted",,1964,M01,2026,M02
3021,44220000,22,A,Utilities,3.0,T,462.0,CEU4422000003,44,03,U,"Average hourly earnings of all employees, utilities, not seasonally adjusted",,2006,M03,2026,M02
3061,60540000,54,A,"Professional, scientific, and technical services",3.0,T,564.0,CEU6054000001,60,01,U,"All employees, thousands, professional, scientific, and technical services, not seasonally adjusted",,1990,M01,2026,M02
3063,60540000,54,A,"Professional, scientific, and technical services",3.0,T,564.0,CEU6054000003,60,03,U,"Average hourly earnings of all employees, professional, scientific, and technical services, not seasonally adjusted",,2006,M03,2026,M01
3103,60550000,55,A,Management of companies and enterprises,3.0,T,614.0,CEU6055000001,60,01,U,"All employees, thousands, management of companies and enterprises, not seasonally adjusted",,1990,M01,2026,M02
3105,60550000,55,A,Management of companies and enterprises,3.0,T,614.0,CEU6055000003,60,03,U,"Average hourly earnings of all employees, management of companies and enterprises, not seasonally adjusted",,2006,M03,2026,M01
