date,BAMLH0A0HYM2EY
2022-03-15,5.8657
2022-04-15,6.3629
2022-05-15,7.315
2022-06-15,8.03
2022-07-15,8.2614
2022-08-15,7.587
2022-09-15,8.6827
2022-10-15,9.1952
2022-11-15,8.7955
2022-12-15,8.4582
2023-01-15,8.0981
2023-02-15,8.25
2023-03-15,8.6439
2023-04-15,8.245
2023-05-15,8.4765
2023-06-15,8.4191
2023-07-15,8.2467
2023-08-15,8.367
2023-09-15,8.5309
2023-10-15,9.2345
2023-11-15,8.6159
2023-12-15,7.7171
2024-01-15,7.6368
2024-02-15,7.6562
2024-03-15,7.511
2024-04-15,7.8705
2024-05-15,7.7078
2024-06-15,7.6152
2024-07-15,7.4287
2024-08-15,7.18
2024-09-15,6.85
2024-10-15,6.8752
2024-11-15,6.9677
2024-12-15,7.0186
2025-01-15,7.1191
2025-02-15,6.965
2025-03-15,7.2357
2025-04-15,7.959
2025-05-15,7.3957
2025-06-15,7.1133
2025-07-15,6.8591
2025-08-15,6.6964
2025-09-15,6.4827
2025-10-15,6.5674
2025-11-15,6.7586
2025-12-15,6.5891
2026-01-15,6.4918
2026-02-15,6.5757
2026-03-30,7.42
