date,VALUE
2003-04-01,102.1
2003-05-01,98.46
2003-06-01,98.45
2003-07-01,99.52
2003-08-01,100.87
2003-09-01,99.77
2003-10-01,97.48
2003-11-01,96.78
2003-12-01,95.11
2004-01-01,93.75
2004-02-01,94.42
2004-03-01,95.67
2004-04-01,96.37
2004-05-01,98.26
2004-06-01,97.59
2004-07-01,96.68
2004-08-01,96.74
2004-09-01,96.19
2004-10-01,95.04
2004-11-01,92.4
2004-12-01,90.9
2005-01-01,91.59
2005-02-01,91.77
2005-03-01,91.68
2005-04-01,92.94
2005-05-01,93.19
2005-06-01,94.3
2005-07-01,94.92
2005-08-01,93.94
2005-09-01,94.5
2005-10-01,95.6
2005-11-01,95.56
2005-12-01,94.38
2006-01-01,93.5
2006-02-01,93.65
2006-03-01,94.22
2006-04-01,93.95
2006-05-01,92.28
2006-06-01,93.73
2006-07-01,93.7
2006-08-01,93.01
2006-09-01,92.63
2006-10-01,92.43
2006-11-01,91.31
2006-12-01,90.24
2007-01-01,91.44
2007-02-01,91.22
2007-03-01,91.31
2007-04-01,90.37
2007-05-01,89.99
2007-06-01,89.89
2007-07-01,88.51
2007-08-01,88.47
2007-09-01,87.2
2007-10-01,85.32
2007-11-01,84.03
2007-12-01,84.42
2008-01-01,83.9
2008-02-01,82.75
2008-03-01,81.49
2008-04-01,81.26
2008-05-01,81.88
2008-06-01,82.4
2008-07-01,81.91
2008-08-01,83.56
2008-09-01,85.33
2008-10-01,90.14
2008-11-01,91.08
2008-12-01,89.55
2009-01-01,90.47
2009-02-01,92.92
2009-03-01,93.46
2009-04-01,91.27
2009-05-01,88.7
2009-06-01,88.35
2009-07-01,87.97
2009-08-01,86.75
2009-09-01,85.98
2009-10-01,84.75
2009-11-01,84.17
2009-12-01,84.11
2010-01-01,84.38
2010-02-01,85.16
2010-03-01,84.68
2010-04-01,84.22
2010-05-01,86.74
2010-06-01,87.36
2010-07-01,85.85
2010-08-01,84.96
2010-09-01,83.95
2010-10-01,81.26
2010-11-01,81.21
2010-12-01,81.7
2011-01-01,80.91
2011-02-01,80.24
2011-03-01,79.88
2011-04-01,78.83
2011-05-01,78.99
2011-06-01,78.96
2011-07-01,78.43
2011-08-01,78.86
2011-09-01,80.98
2011-10-01,81.47
2011-11-01,81.79
2011-12-01,82.1
2012-01-01,81.82
2012-02-01,80.5
2012-03-01,81.22
2012-04-01,81.56
2012-05-01,83.02
2012-06-01,84.19
2012-07-01,83.64
2012-08-01,83.06
2012-09-01,81.8
2012-10-01,81.32
2012-11-01,81.48
2012-12-01,80.5
2013-01-01,80.7
2013-02-01,81.38
2013-03-01,82.27
2013-04-01,81.79
2013-05-01,82.38
2013-06-01,83.06
2013-07-01,83.52
2013-08-01,83.26
2013-09-01,82.86
2013-10-01,81.7
2013-11-01,82.11
2013-12-01,82.06
2014-01-01,82.96
2014-02-01,83.04
2014-03-01,83.33
2014-04-01,83.17
2014-05-01,83.1
2014-06-01,83.38
2014-07-01,83.14
2014-08-01,83.61
2014-09-01,84.63
2014-10-01,85.4
2014-11-01,86.34
2014-12-01,87.77
2015-01-01,89.45
2015-02-01,90.55
2015-03-01,92.44
2015-04-01,91.93
2015-05-01,91.52
2015-06-01,92.4
2015-07-01,93.87
2015-08-01,95.19
2015-09-01,95.55
2015-10-01,94.62
2015-11-01,95.95
2015-12-01,96.42
2016-01-01,98.74
2016-02-01,97.36
2016-03-01,95.73
2016-04-01,94.5
2016-05-01,95.82
2016-06-01,96.44
2016-07-01,96.85
2016-08-01,95.99
2016-09-01,96.61
2016-10-01,97.39
2016-11-01,99.66
2016-12-01,101.16
2017-01-01,101.35
2017-02-01,99.84
2017-03-01,99.29
2017-04-01,98.55
2017-05-01,98.14
2017-06-01,96.85
2017-07-01,95.47
2017-08-01,94.27
2017-09-01,93.58
2017-10-01,95.04
2017-11-01,95.02
2017-12-01,94.38
2018-01-01,92.7
2018-02-01,91.69
2018-03-01,92.18
2018-04-01,92.43
2018-05-01,95.3
2018-06-01,96.91
2018-07-01,97.16
2018-08-01,97.63
2018-09-01,97.62
2018-10-01,98.16
2018-11-01,99.04
2018-12-01,98.55
2019-01-01,97.39
2019-02-01,97.11
2019-03-01,97.69
2019-04-01,98.02
2019-05-01,99.12
2019-06-01,98.76
2019-07-01,98.38
2019-08-01,99.98
2019-09-01,100.11
2019-10-01,99.42
2019-11-01,98.89
2019-12-01,98.12
2020-01-01,97.65
2020-02-01,98.76
2020-03-01,102.42
2020-04-01,104.41
2020-05-01,103.91
2020-06-01,101.77
2020-07-01,101.24
2020-08-01,99.94
2020-09-01,99.25
2020-10-01,98.56
2020-11-01,97.02
2020-12-01,95.06
2021-01-01,94.62
2021-02-01,94.99
2021-03-01,96.76
2021-04-01,96.82
2021-05-01,96.22
2021-06-01,97.19
2021-07-01,98.56
2021-08-01,98.78
2021-09-01,98.68
2021-10-01,99.5
2021-11-01,100.31
2021-12-01,101.02
2022-01-01,100.9
2022-02-01,100.83
2022-03-01,102.44
2022-04-01,103.16
2022-05-01,106.18
2022-06-01,107.42
2022-07-01,109.2
2022-08-01,108.69
2022-09-01,111.25
2022-10-01,112.98
2022-11-01,110.17
2022-12-01,107.43
2023-01-01,105.68
2023-02-01,106.18
2023-03-01,106.81
2023-04-01,105.93
2023-05-01,106.73
2023-06-01,107.21
2023-07-01,106.21
2023-08-01,107.68
2023-09-01,109.09
2023-10-01,110.76
