date,PPIACO
2005-08-01,157.6
2005-09-01,162.2
2005-10-01,166.2
2005-11-01,163.7
2005-12-01,163.0
2006-01-01,164.3
2006-02-01,161.8
2006-03-01,162.2
2006-04-01,164.3
2006-05-01,165.8
2006-06-01,166.1
2006-07-01,166.8
2006-08-01,167.9
2006-09-01,165.4
2006-10-01,162.2
2006-11-01,164.6
2006-12-01,165.6
2007-01-01,164.0
2007-02-01,166.8
2007-03-01,169.3
2007-04-01,171.4
2007-05-01,173.3
2007-06-01,173.8
2007-07-01,175.1
2007-08-01,172.4
2007-09-01,173.5
2007-10-01,174.7
2007-11-01,179.0
2007-12-01,178.6
2008-01-01,181.0
2008-02-01,182.7
2008-03-01,187.9
2008-04-01,190.9
2008-05-01,196.6
2008-06-01,200.5
2008-07-01,205.5
2008-08-01,199.0
2008-09-01,196.9
2008-10-01,186.4
2008-11-01,176.8
2008-12-01,170.9
2009-01-01,171.2
2009-02-01,169.3
2009-03-01,168.1
2009-04-01,169.1
2009-05-01,170.8
2009-06-01,174.1
2009-07-01,172.5
2009-08-01,175.0
2009-09-01,174.1
2009-10-01,175.2
2009-11-01,177.4
2009-12-01,178.1
2010-01-01,181.9
2010-02-01,181.0
2010-03-01,183.3
2010-04-01,184.4
2010-05-01,184.8
2010-06-01,183.5
2010-07-01,184.1
2010-08-01,184.9
2010-09-01,184.9
2010-10-01,186.6
2010-11-01,187.7
2010-12-01,189.7
2011-01-01,192.7
2011-02-01,195.8
2011-03-01,199.2
2011-04-01,203.1
2011-05-01,204.1
2011-06-01,203.9
2011-07-01,204.6
2011-08-01,203.2
2011-09-01,203.7
2011-10-01,201.1
2011-11-01,201.4
2011-12-01,199.8
2012-01-01,200.7
2012-02-01,201.6
2012-03-01,204.2
2012-04-01,203.7
2012-05-01,201.9
2012-06-01,199.8
2012-07-01,200.1
2012-08-01,202.7
2012-09-01,204.4
2012-10-01,203.5
2012-11-01,201.8
2012-12-01,201.5
2013-01-01,202.5
2013-02-01,204.3
2013-03-01,204.0
2013-04-01,203.5
2013-05-01,204.1
2013-06-01,204.3
2013-07-01,204.4
2013-08-01,204.2
2013-09-01,203.9
2013-10-01,202.5
2013-11-01,201.2
2013-12-01,202.0
2014-01-01,203.8
2014-02-01,205.7
2014-03-01,207.0
2014-04-01,208.3
2014-05-01,208.0
2014-06-01,208.3
2014-07-01,208.0
2014-08-01,207.0
2014-09-01,206.4
2014-10-01,203.4
2014-11-01,200.9
2014-12-01,197.0
2015-01-01,192.0
2015-02-01,191.1
2015-03-01,191.5
2015-04-01,190.9
2015-05-01,193.4
2015-06-01,194.8
2015-07-01,193.9
2015-08-01,191.9
2015-09-01,189.1
2015-10-01,187.5
2015-11-01,185.7
2015-12-01,183.5
2016-01-01,182.6
2016-02-01,181.3
2016-03-01,182.1
2016-04-01,183.2
2016-05-01,185.3
2016-06-01,187.6
2016-07-01,187.7
2016-08-01,186.6
2016-09-01,186.9
2016-10-01,186.7
2016-11-01,186.3
2016-12-01,188.2
2017-01-01,190.7
2017-02-01,191.6
2017-03-01,191.5
2017-04-01,193.0
2017-05-01,192.8
2017-06-01,193.6
2017-07-01,193.5
2017-08-01,193.8
2017-09-01,194.8
2017-10-01,194.9
2017-11-01,195.9
2017-12-01,196.3
2018-01-01,197.9
2018-02-01,199.3
2018-03-01,199.3
2018-04-01,200.3
2018-05-01,203.2
2018-06-01,204.2
2018-07-01,204.3
2018-08-01,203.4
2018-09-01,203.6
2018-10-01,204.6
2018-11-01,202.3
2018-12-01,201.0
2019-01-01,199.1
2019-02-01,199.2
2019-03-01,200.8
2019-04-01,202.1
2019-05-01,201.7
2019-06-01,200.3
2019-07-01,200.7
2019-08-01,199.2
2019-09-01,198.4
2019-10-01,198.6
2019-11-01,199.0
2019-12-01,199.0
2020-01-01,199.3
2020-02-01,196.7
2020-03-01,193.1
2020-04-01,185.5
2020-05-01,188.6
2020-06-01,191.2
2020-07-01,193.0
2020-08-01,194.3
2020-09-01,195.5
2020-10-01,196.5
2020-11-01,198.3
2020-12-01,200.5
2021-01-01,204.8
2021-02-01,210.6
2021-03-01,215.0
2021-04-01,217.9
2021-05-01,224.9
2021-06-01,228.9
2021-07-01,231.85
2021-08-01,233.415
2021-09-01,235.667
2021-10-01,240.446
2021-11-01,243.174
2021-12-01,241.017
