date,A067RC,A071RC,DPCERC,OTHER,SAVING
1994-07-01,1.9499999999999995,-0.6024999999999991,2.3749999999999996,-0.1825,0.6024999999999991
1994-10-01,2.7949999999999995,-0.002499999999999142,2.5974999999999997,-0.20500000000000002,0.002499999999999142
1995-01-01,3.0049999999999994,1.072500000000001,1.6949999999999996,-0.245,-1.072500000000001
1995-04-01,2.2099999999999995,0.04750000000000093,1.8024999999999995,-0.3625,-0.04750000000000093
1995-07-01,2.5874999999999995,0.2675000000000009,1.9474999999999998,-0.37250000000000005,-0.2675000000000009
1995-10-01,1.6299999999999994,-0.4149999999999991,1.555,-0.4900000000000001,0.4149999999999991
1996-01-01,1.7599999999999998,-0.9174999999999991,2.25,-0.4250000000000001,0.9174999999999991
1996-04-01,2.4699999999999998,-0.2824999999999992,2.4524999999999997,-0.3000000000000001,0.2824999999999992
1996-07-01,2.3425,-0.0774999999999992,2.145,-0.27500000000000013,0.0774999999999992
1996-10-01,2.2724999999999995,-0.12249999999999922,2.235,-0.16000000000000011,0.12249999999999922
1997-01-01,2.2624999999999993,-0.2924999999999992,2.3549999999999995,-0.20250000000000012,0.2924999999999992
1997-04-01,2.2199999999999993,0.26250000000000073,1.7224999999999997,-0.24000000000000016,-0.26250000000000073
1997-07-01,2.6399999999999992,-0.4349999999999992,2.8374999999999995,-0.24000000000000016,0.4349999999999992
1997-10-01,3.702499999999999,0.19250000000000078,3.2499999999999996,-0.2625000000000002,-0.19250000000000078
1998-01-01,5.004999999999999,1.5975000000000008,3.2125,-0.19500000000000017,-1.5975000000000008
1998-04-01,5.6,0.7750000000000009,4.5625,-0.2600000000000001,-0.7750000000000009
1998-07-01,5.425,1.0275000000000007,4.17,-0.2300000000000001,-1.0275000000000007
1998-10-01,4.677499999999999,0.04750000000000082,4.435,-0.19500000000000012,-0.04750000000000082
1999-01-01,3.327499999999999,-1.1899999999999993,4.395,-0.1250000000000001,1.1899999999999993
1999-04-01,2.009999999999999,-2.122499999999999,4.08,-0.05250000000000013,2.122499999999999
1999-07-01,1.6274999999999986,-2.3249999999999993,3.895,-0.05500000000000013,2.3249999999999993
1999-10-01,2.4024999999999985,-1.5824999999999996,3.920000000000001,-0.06750000000000014,1.5824999999999996
2000-01-01,3.5224999999999986,-1.2499999999999996,4.505000000000001,-0.2675000000000001,1.2499999999999996
2000-04-01,4.527499999999998,0.19750000000000045,4.03,-0.3025000000000001,-0.19750000000000045
2000-07-01,5.1099999999999985,0.7250000000000005,3.9300000000000006,-0.45750000000000013,-0.7250000000000005
2000-10-01,3.884999999999999,0.04750000000000053,3.3500000000000005,-0.49000000000000016,-0.04750000000000053
2001-01-01,2.782499999999999,0.2250000000000006,2.2175000000000002,-0.34250000000000014,-0.2250000000000006
2001-04-01,1.3849999999999991,-0.2949999999999994,1.495,-0.18500000000000016,0.2949999999999994
2001-07-01,2.637499999999999,1.8000000000000007,0.8600000000000001,0.01999999999999985,-1.8000000000000007
2001-10-01,0.8074999999999988,-0.49249999999999916,1.5175,0.21499999999999986,0.49249999999999916
2002-01-01,2.2724999999999986,1.1175000000000006,1.4325,0.27249999999999985,-1.1175000000000006
2002-04-01,3.2224999999999984,1.8725000000000007,1.7200000000000002,0.3624999999999999,-1.8725000000000007
2002-07-01,0.6049999999999986,-1.0624999999999996,2.1100000000000003,0.4374999999999999,1.0624999999999996
2002-10-01,2.714999999999999,1.8950000000000005,1.1800000000000004,0.3574999999999999,-1.8950000000000005
2003-01-01,0.5374999999999988,-0.5299999999999994,1.3550000000000004,0.28749999999999987,0.5299999999999994
2003-04-01,1.1424999999999987,-0.6799999999999994,1.9750000000000005,0.15499999999999986,0.6799999999999994
2003-07-01,3.1299999999999986,0.48000000000000065,2.74,0.08999999999999987,-0.48000000000000065
2003-10-01,2.7699999999999987,-0.11499999999999935,2.85,-0.03750000000000014,0.11499999999999935
2004-01-01,3.032499999999999,-0.34249999999999936,3.2874999999999996,-0.09000000000000014,0.34249999999999936
2004-04-01,2.9399999999999986,0.0475000000000006,2.7824999999999998,-0.11750000000000013,-0.0475000000000006
2004-07-01,1.7799999999999985,-0.8024999999999994,2.41,-0.17750000000000016,0.8024999999999994
2004-10-01,2.8724999999999983,-0.08499999999999946,2.815,-0.14500000000000013,0.08499999999999946
2005-01-01,1.0599999999999983,-1.4899999999999995,2.4875,-0.06500000000000013,1.4899999999999995
2005-04-01,0.8474999999999984,-2.4849999999999994,3.0149999999999997,-0.3175000000000001,2.4849999999999994
2005-07-01,0.4449999999999984,-2.7249999999999996,2.8724999999999996,-0.29750000000000015,2.7249999999999996
2005-10-01,0.42499999999999827,-1.9224999999999997,2.0749999999999993,-0.2725000000000002,1.9224999999999997
2006-01-01,3.8274999999999983,0.8575000000000003,2.609999999999999,-0.3600000000000002,-0.8575000000000003
2006-04-01,3.0474999999999985,0.9300000000000002,1.959999999999999,-0.15750000000000025,-0.9300000000000002
2006-07-01,3.0024999999999986,1.1825,1.587499999999999,-0.23250000000000023,-1.1825
2006-10-01,3.0624999999999982,0.47750000000000004,2.257499999999999,-0.3275000000000002,-0.47750000000000004
2007-01-01,1.8624999999999983,-0.1399999999999999,1.687499999999999,-0.31500000000000017,0.1399999999999999
2007-04-01,1.8749999999999982,0.13250000000000012,1.3674999999999988,-0.3750000000000001,-0.13250000000000012
2007-07-01,1.6899999999999982,0.09750000000000014,1.322499999999999,-0.27000000000000013,-0.09750000000000014
2007-10-01,0.33249999999999824,-0.39749999999999985,0.6374999999999988,-0.09500000000000014,0.39749999999999985
2008-01-01,-0.28500000000000175,-0.14749999999999985,-0.18000000000000116,-0.04250000000000014,0.14749999999999985
2008-04-01,1.4249999999999985,1.8375000000000001,-0.19750000000000115,0.21749999999999983,-1.8375000000000001
2008-07-01,-0.9325000000000014,0.8100000000000003,-1.4775000000000011,0.26749999999999985,-0.8100000000000003
2008-10-01,-0.05250000000000138,2.9475000000000007,-2.652500000000001,0.35499999999999987,-2.9475000000000007
2009-01-01,-0.8125000000000013,2.0575000000000006,-2.600000000000001,0.27499999999999986,-2.0575000000000006
2009-04-01,-1.6075000000000015,1.7325000000000008,-3.150000000000001,0.19249999999999984,-1.7325000000000008
2009-07-01,-0.6000000000000014,1.2925000000000006,-1.7125000000000008,0.17999999999999985,-1.2925000000000006
2009-10-01,-1.5600000000000014,-0.5249999999999992,-0.9475000000000007,0.08499999999999985,0.5249999999999992
2010-01-01,-0.4650000000000015,-0.059999999999999276,-0.22500000000000075,0.17749999999999985,0.059999999999999276
2010-04-01,0.2149999999999983,-0.5524999999999995,0.9974999999999993,0.22749999999999984,0.5524999999999995
2010-07-01,2.3299999999999983,1.5025000000000004,1.042499999999999,0.21499999999999983,-1.5025000000000004
2010-10-01,3.0174999999999983,1.3350000000000004,1.8849999999999991,0.20499999999999985,-1.3350000000000004
2011-01-01,3.5749999999999984,1.9375000000000004,1.854999999999999,0.22249999999999986,-1.9375000000000004
2011-04-01,1.5199999999999987,0.3875000000000004,1.294999999999999,0.16999999999999987,-0.3875000000000004
2011-07-01,1.2099999999999986,0.3825000000000004,0.9849999999999991,0.16499999999999987,-0.3825000000000004
2011-10-01,0.9374999999999987,0.5450000000000005,0.5124999999999991,0.12749999999999986,-0.5450000000000005
2012-01-01,1.9074999999999984,1.0725000000000002,0.8974999999999992,0.06749999999999985,-1.0725000000000002
2012-04-01,3.174999999999998,2.3750000000000004,0.8274999999999992,0.029999999999999853,-2.3750000000000004
2012-07-01,1.8774999999999982,1.3425000000000005,0.6024999999999993,0.06999999999999987,-1.3425000000000005
2012-10-01,4.6549999999999985,3.8450000000000006,0.8674999999999992,0.05749999999999987,-3.8450000000000006
2013-01-01,-2.070000000000002,-2.5799999999999996,0.5924999999999992,0.08499999999999987,2.5799999999999996
2013-04-01,-2.262500000000002,-2.695,0.5249999999999992,0.09499999999999988,2.695
2013-07-01,-0.9675000000000018,-1.685,0.7674999999999992,0.05499999999999988,1.685
2013-10-01,-3.657500000000002,-4.7875,1.179999999999999,0.05499999999999988,4.7875
2014-01-01,2.4999999999999982,1.3875000000000006,1.037499999999999,-0.07250000000000012,-1.3875000000000006
2014-04-01,3.1999999999999984,1.0325000000000006,2.0574999999999988,-0.10750000000000012,-1.0325000000000006
2014-07-01,4.024999999999999,1.1050000000000006,2.7299999999999986,-0.19250000000000012,-1.1050000000000006
2014-10-01,5.074999999999998,1.7075000000000005,3.0874999999999986,-0.2825000000000001,-1.7075000000000005
2015-01-01,4.819999999999998,1.0350000000000006,3.534999999999999,-0.25250000000000006,-1.0350000000000006
2015-04-01,4.1374999999999975,0.6275000000000005,3.234999999999999,-0.28,-0.6275000000000005
2015-07-01,3.6549999999999976,0.48500000000000043,2.9174999999999986,-0.255,-0.48500000000000043
2015-10-01,2.519999999999998,0.1900000000000004,2.1424999999999983,-0.1875,-0.1900000000000004
2016-01-01,1.9849999999999977,-0.2024999999999996,2.084999999999998,-0.10250000000000001,0.2024999999999996
2016-04-01,1.0174999999999976,-0.9799999999999996,2.004999999999998,0.012499999999999997,0.9799999999999996
2016-07-01,0.6999999999999976,-1.1824999999999997,1.8874999999999984,0.009999999999999995,1.1824999999999997
2016-10-01,1.0324999999999978,-1.0649999999999997,2.0799999999999983,-0.015000000000000006,1.0649999999999997
2017-01-01,1.6449999999999982,-0.32249999999999973,1.9174999999999982,-0.0475,0.32249999999999973
2017-04-01,2.534999999999998,0.5150000000000003,1.8149999999999982,-0.20500000000000002,-0.5150000000000003
2017-07-01,2.712499999999998,0.7075000000000005,1.7899999999999978,-0.215,-0.7075000000000005
2017-10-01,3.1024999999999983,0.5775000000000005,2.347499999999998,-0.1775,-0.5775000000000005
2018-01-01,3.669999999999998,1.2325000000000006,2.194999999999998,-0.2425,-1.2325000000000006
2018-04-01,3.7049999999999983,0.9000000000000006,2.619999999999998,-0.18499999999999997,-0.9000000000000006
2018-07-01,3.9899999999999984,0.8550000000000005,2.912499999999998,-0.22249999999999998,-0.8550000000000005
2018-10-01,3.7649999999999983,1.4175000000000004,2.134999999999998,-0.2125,-1.4175000000000004
2019-01-01,3.152499999999998,0.9250000000000003,2.012499999999998,-0.21499999999999997,-0.9250000000000003
2019-04-01,2.839999999999998,0.5000000000000002,2.1574999999999984,-0.18249999999999997,-0.5000000000000002
2019-07-01,2.7474999999999983,0.6125000000000003,2.0799999999999983,-0.054999999999999966,-0.6125000000000003
2019-10-01,2.389999999999998,0.11500000000000021,2.1574999999999984,-0.11499999999999995,-0.11500000000000021
